model,eci,fb_overall,question_type,group,horizon,n_items,n_valid,excess_brier,brier,recov,excess_bits,ncrps_global,excess_ncrps_global,crps,excess_t2,stay,gain,excess_nonews
anthropic/claude-fable-5,162.49,,bank,EX_comparative,90,9,9,0.04646888888888888,0.20197777777777776,0.5082194680275629,0.21172632662820018,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,120,11,11,0.11049163636363636,0.2789327272727273,-0.35474637406537113,0.5042724663971299,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,150,10,10,0.01963460000000001,0.21494999999999997,0.6409482742856305,0.06558148061315514,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,180,12,12,0.044874583333333336,0.24222833333333335,0.1476205174474282,0.15915488099849442,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,210,11,11,0.023561909090909095,0.21181454545454548,0.6184143305345388,0.07747982545492439,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,all,53,53,0.049578301886792464,0.2315520754716981,0.27118841512291303,0.2051035005309412,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,90,7,7,0.09324157142857144,0.2888914285714286,-0.7155717819114686,0.36966874564195706,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,120,10,10,0.2367995,0.43007599999999996,-3.1746277997655294,1.2692593852408511,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,150,9,9,0.2990481111111111,0.4734822222222222,-2.9574484666067735,1.6409805429032898,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,180,10,10,0.2411585,0.41869199999999995,-2.327861839608647,1.2444431707227979,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,210,10,10,0.22906890000000005,0.40708200000000005,-2.1820914638635642,1.0452041325297488,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,all,46,46,0.22639984782608696,0.40961043478260867,-2.389756512438674,1.150990717186028,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,90,10,10,0.1497219,0.317572,-0.8225451278699056,0.6351432217472157,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,120,9,9,0.17365277777777777,0.34774666666666665,-1.2877311883833094,0.9545696440629001,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,150,10,10,0.15345740000000002,0.322674,-0.89961551506869,0.6382281949435477,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,180,10,10,0.14595529999999995,0.317916,-0.8702794617583698,0.6566893874045482,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,210,11,11,0.21813845454545452,0.4038218181818182,-2.3916334385419855,1.0378735435458557,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,all,50,50,0.16907488,0.3430676,-1.224456394176979,0.7861668763304724,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,90,8,8,0.28506037500000003,0.4577675,-2.688055011538904,1.7372746460914659,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,120,9,9,0.2919375555555555,0.48197111111111113,-3.8683485949549565,1.770827816714562,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,150,11,11,0.27630154545454544,0.45911454545454544,-3.1124256992356463,1.5677943945333361,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,180,10,10,0.2557762,0.438542,-2.804257357118847,1.4872317765815137,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,210,10,10,0.2284417,0.40284000000000003,-2.0216476613621115,1.160373265948931,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,all,48,48,0.2664461875,0.4471658333333333,-2.845912606898841,1.532446589256957,,,,,,,
