model,metric,horizon,nforecasts,nvalid,CRPS,nCRPS_global,excess_nCRPS_global,excess_CRPS_over_IQR
anthropic/claude-fable-5,NC14_world_wonders,T90,6,6,0.6066999999999996,0.1516749999999999,0.07538333333333332,0.30153333333333326
anthropic/claude-fable-5,NC14_world_wonders,T120,6,6,0.7490333333333338,0.18725833333333344,0.07920000000000023,0.29706666666666753
anthropic/claude-fable-5,NC14_world_wonders,T150,6,6,2.1055,0.526375,0.3695833333333334,1.0994888888888892
anthropic/claude-fable-5,NC14_world_wonders,T180,7,7,2.7356285714285713,0.6839071428571428,0.4556428571428571,0.8509619047619047
anthropic/claude-fable-5,NC14_world_wonders,T210,6,6,3.718733333333334,0.9296833333333335,0.6396666666666669,1.1098722222222228
anthropic/claude-fable-5,NC14_world_wonders,all,31,31,2.007393548387097,0.5018483870967743,0.3281451612903227,0.7356290322580648
anthropic/claude-fable-5,NC1_value_at_T,T90,12,12,18.37131666666667,0.2072718174603175,0.1471091904761905,0.9697305827620074
anthropic/claude-fable-5,NC1_value_at_T,T120,12,12,29.06421666666667,0.3338447698412699,0.21970273015873018,0.8201992941633081
anthropic/claude-fable-5,NC1_value_at_T,T150,12,12,31.741249999999997,0.310997388888889,0.1613389523809524,0.41265591857116807
anthropic/claude-fable-5,NC1_value_at_T,T180,12,12,24.87975,0.26883430952380954,0.08888774603174604,0.22407580045053976
anthropic/claude-fable-5,NC1_value_at_T,T210,12,12,59.851400000000005,0.48197162698412704,0.26373550793650796,0.5051001859542806
anthropic/claude-fable-5,NC1_value_at_T,all,60,60,32.78158666666666,0.3205839825396826,0.17615482539682542,0.5863523563802608
anthropic/claude-fable-5,NC5_world_captures,T90,6,6,4.8434333333333335,0.09686866666666666,0.05552666666666666,0.4913905555555555
anthropic/claude-fable-5,NC5_world_captures,T120,6,6,24.659333333333333,0.4931866666666666,0.39616533333333326,1.5492569239984333
anthropic/claude-fable-5,NC5_world_captures,T150,7,7,43.64431428571429,0.8728862857142856,0.7255622857142857,1.784535923660082
anthropic/claude-fable-5,NC5_world_captures,T180,6,6,55.354499999999994,1.10709,0.9354946666666666,1.9787860338591428
anthropic/claude-fable-5,NC5_world_captures,T210,7,7,73.41377142857142,1.4682754285714286,1.2562777142857142,2.0810128740670186
anthropic/claude-fable-5,NC5_world_captures,all,32,32,41.51719375,0.8303438750000001,0.6936249999999999,1.5992325832677656
anthropic/claude-fable-5,P1_civ_conquests,T90,6,6,0.6405666666666664,0.06405666666666664,0.014413333333333332,0.11196666666666666
anthropic/claude-fable-5,P1_civ_conquests,T120,6,6,2.6176333333333335,0.26176333333333335,0.14819333333333332,0.4567722222222222
anthropic/claude-fable-5,P1_civ_conquests,T150,7,7,3.5018571428571432,0.3501857142857143,0.2031828571428571,0.4918038095238096
anthropic/claude-fable-5,P1_civ_conquests,T180,6,6,4.079066666666667,0.40790666666666664,0.23480666666666664,0.48552888888888884
anthropic/claude-fable-5,P1_civ_conquests,T210,6,6,5.6149666666666675,0.5614966666666666,0.36306,0.6624199999999999
anthropic/claude-fable-5,P1_civ_conquests,all,31,31,3.2976258064516126,0.32976258064516123,0.19306838709677415,0.443314623655914
anthropic/claude-fable-5,P2_civ_losses,T90,6,6,0.9748000000000006,0.09748000000000005,0.02143333333333337,0.09080000000000012
anthropic/claude-fable-5,P2_civ_losses,T120,6,6,3.7058666666666666,0.3705866666666667,0.20886000000000002,0.45304444444444436
anthropic/claude-fable-5,P2_civ_losses,T150,6,6,3.660166666666667,0.36601666666666666,0.2061666666666667,0.430431746031746
anthropic/claude-fable-5,P2_civ_losses,T180,6,6,9.880700000000001,0.9880700000000001,0.6970066666666668,0.8003788359788362
anthropic/claude-fable-5,P2_civ_losses,T210,7,7,8.880942857142857,0.8880942857142857,0.6225257142857142,0.7986293156050299
anthropic/claude-fable-5,P2_civ_losses,all,31,31,5.5321225806451615,0.5532122580645161,0.3599509677419355,0.5238172699343667
anthropic/claude-fable-5,P3_civ_founds,T90,6,6,6.048033333333334,0.3024016666666667,0.24867000000000006,1.5037044444444447
anthropic/claude-fable-5,P3_civ_founds,T120,6,6,9.219,0.46095,0.37318333333333337,1.6948653968253968
anthropic/claude-fable-5,P3_civ_founds,T150,6,6,10.709333333333335,0.5354666666666669,0.4044933333333334,1.0472438359788363
anthropic/claude-fable-5,P3_civ_founds,T180,7,7,10.346885714285715,0.5173442857142858,0.3718428571428572,0.9363752834467121
