model,question_type,horizon,nforecasts,nvalid,brier,expected_brier,calibration,excess_bits
anthropic/claude-fable-5,regular,T90,150,150,0.34873333333333334,0.34873333333333334,0.17490976,0.7943750494800637
anthropic/claude-fable-5,regular,T120,150,150,0.35631160000000006,0.35631160000000006,0.1804354333333333,0.8393402798731877
anthropic/claude-fable-5,regular,T150,150,150,0.3425791999999999,0.3425791999999999,0.16860538,0.738700694090419
anthropic/claude-fable-5,regular,T180,150,150,0.3324752,0.3324752,0.1553802533333333,0.6701379180159016
anthropic/claude-fable-5,regular,T210,150,150,0.3221470666666667,0.3221470666666667,0.14709682000000004,0.6183396837295401
anthropic/claude-fable-5,regular,all,750,750,0.34044927999999997,0.34044927999999997,0.16528552933333335,0.7321787250378224
anthropic/claude-fable-5,tail,T90,60,60,0.05766000000000001,0.05766000000000001,0.0425223,0.18207880218814188
anthropic/claude-fable-5,tail,T120,60,60,0.067691,0.067691,0.048584616666666657,0.2183471995366103
anthropic/claude-fable-5,tail,T150,60,60,0.051333,0.051333,0.031050799999999993,0.1571051403456032
anthropic/claude-fable-5,tail,T180,60,60,0.05474825000000001,0.05474825000000001,0.03535014999999999,0.1773233275122853
anthropic/claude-fable-5,tail,T210,60,60,0.08534100000000001,0.08534100000000001,0.06666901666666666,0.30541290204871
anthropic/claude-fable-5,tail,all,300,300,0.06335465,0.06335465,0.04483537666666666,0.2080534743262701
anthropic/claude-fable-5,mirror,T90,10,10,0.51129,0.51129,0.4908659999999999,2.0488957929654843
anthropic/claude-fable-5,mirror,T120,10,10,0.511284,0.511284,0.5004991,1.9656725478519839
anthropic/claude-fable-5,mirror,T150,10,10,0.522052,0.522052,0.504811,2.041733828068736
anthropic/claude-fable-5,mirror,T180,10,10,0.46449999999999997,0.46449999999999997,0.4418266999999999,1.7774576085620233
anthropic/claude-fable-5,mirror,T210,10,10,0.393758,0.393758,0.3802305999999999,1.574599394247868
anthropic/claude-fable-5,mirror,all,50,50,0.48057679999999997,0.48057679999999997,0.4636466799999999,1.8816718343392191
anthropic/claude-opus-5,regular,T90,150,150,0.33140306666666663,0.33140306666666663,0.15757949333333335,0.6740595457042494
anthropic/claude-opus-5,regular,T120,150,150,0.33626200000000006,0.33626200000000006,0.16038583333333334,0.675232543888957
anthropic/claude-opus-5,regular,T150,150,150,0.32329080000000004,0.32329080000000004,0.14931698,0.5956347104807633
anthropic/claude-opus-5,regular,T180,150,150,0.3165672,0.3165672,0.1394722533333333,0.5453053293652639
anthropic/claude-opus-5,regular,T210,150,150,0.3123253333333333,0.3123253333333333,0.13727508666666666,0.5275271214212064
anthropic/claude-opus-5,regular,all,750,750,0.32396968,0.32396968,0.14880592933333336,0.603551850172088
anthropic/claude-opus-5,tail,T90,60,60,0.06293800000000001,0.06293800000000001,0.047800300000000004,0.2194009597375254
anthropic/claude-opus-5,tail,T120,60,60,0.07318,0.07318,0.054073616666666664,0.24661780309890827
anthropic/claude-opus-5,tail,T150,60,60,0.05883333333333333,0.05883333333333333,0.03855113333333334,0.20304370548841918
anthropic/claude-opus-5,tail,T180,60,60,0.05465733333333333,0.05465733333333333,0.035259233333333334,0.19727555757316287
anthropic/claude-opus-5,tail,T210,60,60,0.09471566666666668,0.09471566666666668,0.07604368333333333,0.34517599675099214
anthropic/claude-opus-5,tail,all,300,300,0.06886486666666668,0.06886486666666668,0.05034559333333333,0.24230280452980157
anthropic/claude-opus-5,mirror,T90,10,10,0.548192,0.548192,0.5277679999999999,2.174330013754903
anthropic/claude-opus-5,mirror,T120,10,10,0.39343,0.39343,0.38264509999999996,1.4402739642861515
anthropic/claude-opus-5,mirror,T150,10,10,0.48828999999999995,0.48828999999999995,0.47104899999999994,1.8804965334258181
anthropic/claude-opus-5,mirror,T180,10,10,0.42184999999999995,0.42184999999999995,0.39917669999999994,1.540842149583499
anthropic/claude-opus-5,mirror,T210,10,10,0.4349380000000001,0.4349380000000001,0.4214106,1.604495035313994
anthropic/claude-opus-5,mirror,all,50,50,0.45734,0.45734,0.44040988,1.7280875392728732
openai/gpt-5.6-sol,regular,T90,150,150,0.30766047333333335,0.30766047333333335,0.1338369,0.5583992603159984
openai/gpt-5.6-sol,regular,T120,150,150,0.30905506666666666,0.30905506666666666,0.13317890000000002,0.49790258873144905
openai/gpt-5.6-sol,regular,T150,150,150,0.29409093333333336,0.29409093333333336,0.12011711333333333,0.49022969243479203
openai/gpt-5.6-sol,regular,T180,150,150,0.2860426666666667,0.2860426666666667,0.10894772000000001,0.4413310585229821
openai/gpt-5.6-sol,regular,T210,150,150,0.2713993333333334,0.2713993333333334,0.09634908666666667,0.3715886322446438
openai/gpt-5.6-sol,regular,all,750,750,0.2936496946666666,0.2936496946666666,0.11848594400000002,0.4718902464499731
openai/gpt-5.6-sol,tail,T90,60,60,0.07488615,0.07488615,0.059748449999999995,0.2640002595717897
openai/gpt-5.6-sol,tail,T120,60,60,0.092857,0.092857,0.07375061666666664,0.32208637235903914
openai/gpt-5.6-sol,tail,T150,60,60,0.10883033333333332,0.10883033333333332,0.08854813333333333,0.38072011327794625
openai/gpt-5.6-sol,tail,T180,60,60,0.11423058333333333,0.11423058333333333,0.09483248333333334,0.40888219112009677
openai/gpt-5.6-sol,tail,T210,60,60,0.18585333333333331,0.18585333333333331,0.16718135,0.6725053435128636
openai/gpt-5.6-sol,tail,all,300,300,0.11533148000000001,0.11533148000000001,0.09681220666666666,0.4096388559683471
openai/gpt-5.6-sol,mirror,T90,10,10,0.355004,0.355004,0.33458,1.2347939153111802
openai/gpt-5.6-sol,mirror,T120,10,10,0.241242,0.241242,0.23045709999999997,0.8848427113412493
openai/gpt-5.6-sol,mirror,T150,10,10,0.283718,0.283718,0.266477,0.9846409766706815
openai/gpt-5.6-sol,mirror,T180,10,10,0.17848399999999998,0.17848399999999998,0.15581069999999997,0.6244713833325211
openai/gpt-5.6-sol,mirror,T210,10,10,0.208094,0.208094,0.19456660000000003,0.745154056587886
openai/gpt-5.6-sol,mirror,all,50,50,0.2533084,0.2533084,0.23637828000000002,0.8947806086487036
openai/gpt-5.5,regular,T90,150,150,0.3304496,0.3304496,0.15662602666666667,0.6791133585734777
openai/gpt-5.5,regular,T120,150,150,0.3314722666666666,0.3314722666666666,0.1555961,0.65045442471377
openai/gpt-5.5,regular,T150,150,150,0.31552,0.31552,0.14154618000000002,0.569675280000763
openai/gpt-5.5,regular,T180,150,150,0.29720879999999994,0.29720879999999994,0.12011385333333333,0.4561607937859998
openai/gpt-5.5,regular,T210,150,150,0.28532906666666674,0.28532906666666674,0.11027881999999999,0.4040168882334228
openai/gpt-5.5,regular,all,750,750,0.3119959466666667,0.3119959466666667,0.13683219600000002,0.5518841490614866
openai/gpt-5.5,tail,T90,60,60,0.048299999999999996,0.048299999999999996,0.0331623,0.1690343111869472
openai/gpt-5.5,tail,T120,60,60,0.05606099999999999,0.05606099999999999,0.03695461666666666,0.19415989270873923
openai/gpt-5.5,tail,T150,60,60,0.05794233333333334,0.05794233333333334,0.03766013333333333,0.20355094589851683
openai/gpt-5.5,tail,T180,60,60,0.059104666666666666,0.059104666666666666,0.03970656666666665,0.21461104882525392
openai/gpt-5.5,tail,T210,60,60,0.10612766666666668,0.10612766666666668,0.08745568333333333,0.3926244213779851
openai/gpt-5.5,tail,all,300,300,0.06550713333333331,0.06550713333333331,0.04698785999999999,0.23479612399948843
openai/gpt-5.5,mirror,T90,10,10,0.4835279999999999,0.4835279999999999,0.46310399999999985,1.7433060899447343
openai/gpt-5.5,mirror,T120,10,10,0.48917,0.48917,0.4783851,1.8342947024555367
openai/gpt-5.5,mirror,T150,10,10,0.43755,0.43755,0.42030900000000004,1.4995467497047272
openai/gpt-5.5,mirror,T180,10,10,0.44364,0.44364,0.42096669999999997,1.519240590953907
openai/gpt-5.5,mirror,T210,10,10,0.331974,0.331974,0.3184466,1.1907069919288116
openai/gpt-5.5,mirror,all,50,50,0.4371724,0.4371724,0.42024228,1.5574190249975437
google/gemini-3.7-flash,regular,T90,150,150,0.28133199999999997,0.28133199999999997,0.10750842666666666,0.4223682032371778
google/gemini-3.7-flash,regular,T120,150,150,0.28723560000000004,0.28723560000000004,0.11135943333333333,0.42496938513014126
google/gemini-3.7-flash,regular,T150,150,150,0.2865306666666667,0.2865306666666667,0.11255684666666665,0.433277977758555
google/gemini-3.7-flash,regular,T180,150,150,0.2724533333333333,0.2724533333333333,0.09535838666666666,0.35287877942708257
google/gemini-3.7-flash,regular,T210,150,150,0.27389973333333334,0.27389973333333334,0.09884948666666667,0.34597874705213855
google/gemini-3.7-flash,regular,all,750,750,0.2802902666666667,0.2802902666666667,0.105126516,0.39589461852101915
google/gemini-3.7-flash,tail,T90,60,60,0.07910133333333333,0.07910133333333333,0.06396363333333331,0.2875440415405059
google/gemini-3.7-flash,tail,T120,60,60,0.09088399999999999,0.09088399999999999,0.07177761666666665,0.32162869699233365
google/gemini-3.7-flash,tail,T150,60,60,0.09688466666666665,0.09688466666666665,0.07660246666666667,0.3435341354689838
google/gemini-3.7-flash,tail,T180,60,60,0.10554,0.10554,0.08614189999999998,0.3754203179104833
google/gemini-3.7-flash,tail,T210,60,60,0.15929533333333337,0.15929533333333337,0.14062335,0.5858211013570617
google/gemini-3.7-flash,tail,all,300,300,0.10634106666666666,0.10634106666666666,0.08782179333333334,0.38278965865387365
google/gemini-3.7-flash,mirror,T90,10,10,0.361282,0.361282,0.34085799999999994,1.344917154077686
google/gemini-3.7-flash,mirror,T120,10,10,0.24102200000000001,0.24102200000000001,0.2302371,0.9671137544119384
google/gemini-3.7-flash,mirror,T150,10,10,0.30934400000000006,0.30934400000000006,0.292103,1.0932020682801904
