source,group,value,n_forecasts,n_participants,n_questions,crps,mae,normalized_crps,normalized_mae,rps,prob_true_bin,entropy,median_response_time_ms,total_response_time_min,mean_prob_sum_abs_error_pct
human_individual,participant_id,human_2693dcf9,24,1,24,122.84914009104138,208.7206699862206,0.15192952714503768,0.23251093697730688,0.1934168332861985,0.2044435318688879,0.9907116076936857,35128.5,18.544033333333335,0.28776551560457736
human_individual,participant_id,human_40053498,24,1,24,99.0861619379892,155.20189600810806,0.134429022509908,0.2082772485828271,0.17085416468318823,0.24472763492983537,0.8920523791263429,24158.5,10.5796,0.21685254027263254
human_individual,participant_id,human_458490b6,24,1,24,186.7839496014358,265.4456398144842,0.17434666171012975,0.25951300836937435,0.22565206743299318,0.18266915145326548,0.8574935289029126,27150.0,12.355583333333334,0.31049679487180687
human_individual,participant_id,human_4b5ba0fb,24,1,24,124.58181760824804,191.7381626067925,0.16019222397986074,0.24844071403747217,0.21201262608705673,0.20689136722033907,0.8213796247113929,28337.5,17.570916666666665,0.30221625251847267
human_individual,participant_id,human_62b8d931,24,1,24,174.5580966975304,254.86249563434617,0.20890618403253475,0.308831881885515,0.2698002624447686,0.16442901940468535,0.7403467582115215,27290.5,19.456216666666666,0.27233643651410233
human_individual,participant_id,human_6445b883,24,1,24,222.67486007608318,308.997328135778,0.2077653390279173,0.3034244393204107,0.26719016421926745,0.15807523736711665,0.7419799461542655,20864.5,9.457083333333333,0.2456005467281782
human_individual,participant_id,human_94e468f3,24,1,24,162.89380508465547,209.9049401322402,0.1610133127909171,0.22044305977801443,0.200948102840376,0.28799432047878626,0.675898611507533,32675.5,14.743666666666666,0.21448999046712558
human_individual,participant_id,human_98154a6d,24,1,24,179.307436060837,254.18125246199503,0.1832121109765966,0.2740445836957519,0.2371413275977226,0.18519955887811207,0.8329379606288446,27392.5,11.774233333333333,0.27879955625618713
human_individual,participant_id,human_a8c76b64,24,1,24,186.985314689512,325.03574501369883,0.17302336873385418,0.2824248635876538,0.2203901067100397,0.1945742358534224,0.9446023930533536,15892.0,13.203716666666667,0.2493052744329134
human_individual,participant_id,human_b408cdd6,24,1,24,105.15077228112473,154.06269388477375,0.1508762225822675,0.22073387665168173,0.196492684536497,0.20735941428202104,0.8274372560053079,46454.0,21.120066666666666,0.2831771780170402
