source,n_component_participants,participant_id,question_order,question_id,world_id,civilization,template,horizon,resolution_turn,ground_truth,bin_min,bin_max,bin_unit,observed_bin,prob_sum_pct,prob_sum_abs_error_pct,response_time_ms,mean_prediction,p10,p25,p50,p75,p90,crps,mae,normalized_crps,normalized_mae,rps,prob_true_bin,entropy,prob_bin_1,prob_bin_2,prob_bin_3,prob_bin_4,prob_bin_5
human_individual,1,human_62b8d931,1,seed1976_treasury_H1,seed1976,Afghani,treasury,H1,90,901.0,0.0,2000.0,gold,3,99.98060512024814,0.019394879751857275,85303,795.5383123181375,438.78488166725543,548.0395619922289,730.1306958671846,1006.8359374999997,1230.2884615384605,111.71364157218837,170.8693041328154,0.055856820786094184,0.0854346520664077,0.09230475059762314,0.29796314258001927,0.7018304281893428,0.04675072744907847,0.5491755577109606,0.29796314258001927,0.08069835111542187,0.025412221144519753
human_individual,1,human_62b8d931,2,seed1976_treasury_H3,seed1976,Afghani,treasury,H3,150,461.0,0.0,2000.0,gold,2,99.68968192397192,0.31031807602808215,43370,1102.7237354085603,504.05539070227513,805.0521691378365,1087.314662273476,1441.0616705698671,1735.0515463917525,392.946752761522,626.314662273476,0.196473376380761,0.313157331136738,0.18864129282805192,0.19669260700389096,0.9112634123117388,0.048832684824902696,0.19669260700389096,0.3542801556420236,0.2492217898832685,0.15097276264591425
human_individual,1,human_62b8d931,3,seed1976_treasury_H4,seed1976,Afghani,treasury,H4,180,132.0,0.0,2000.0,gold,1,99.78665632273072,0.21334367726927894,32602,1187.7551020408164,539.4179894179897,872.9588504245594,1208.9552238805973,1542.829331602855,1806.9418386491557,792.4297828002154,1076.9552238805973,0.39621489140010774,0.5384776119402986,0.4628370548552618,0.048785228377065046,0.9177483214327181,0.048785228377065046,0.14693877551020393,0.29757045675413024,0.2995140913508265,0.20719144800777425
human_individual,1,human_62b8d931,4,seed1976_treasury_H6,seed1976,Afghani,treasury,H6,240,414.0,0.0,2000.0,gold,2,99.7866563227308,0.21334367726919368,26384,1284.5481049562686,612.2529644268786,967.4764890282138,1338.1979695431478,1666.125892277742,1866.450356911097,605.564211314988,924.1979695431478,0.302782105657494,0.4620989847715739,0.29701659644838113,0.09834791059280831,0.896443205660417,0.04781341107871707,0.09834791059280831,0.2480077745383867,0.3063168124392617,0.29951409135082624
human_individual,1,human_62b8d931,5,seed1976_cities_H1,seed1976,Afghani,cities,H1,90,32.0,0.0,40.0,cities,5,99.59270752521319,0.4072924747868143,87838,19.34566699123661,11.200624512099925,16.00453661697991,19.332469215813347,22.660401814646786,27.02235469448582,9.558859280246413,12.667530784186653,0.2389714820061603,0.31668826960466634,0.43721628968199444,0.018695228821810912,0.617837769419203,0.00019474196689373902,0.2494644595910419,0.60097370983447,0.13067185978578347,0.018695228821810912
human_individual,1,human_62b8d931,6,seed1976_cities_H3,seed1976,Afghani,cities,H3,150,34.0,0.0,40.0,cities,5,99.59270752521327,0.40729247478672903,21019,26.021421616358335,17.14572864321609,20.58626465661643,26.02632862018529,31.033642125792305,36.03474903474904,4.581575988224926,7.973671379814711,0.11453939970562314,0.19934178449536777,0.19969257505956475,0.20175267770204516,0.7506015443394537,0.00019474196689373886,0.049853943524829455,0.34878286270691294,0.39941577409931867,0.20175267770204516
human_individual,1,human_62b8d931,7,seed1976_cities_H4,seed1976,Afghani,cities,H4,180,15.0,0.0,40.0,cities,2,100.17455391776569,0.1745539177656923,26171,27.907066795740565,18.258714175058103,23.059643687064295,28.198986642100415,33.33978078658929,37.33591231463571,8.958242108804646,13.198986642100415,0.22395605272011615,0.32997466605251036,0.3878712084933873,0.026331074540174124,0.7367632125131619,0.003097773475314492,0.026331074540174124,0.24995159728944835,0.42032913843175257,0.3002904162633105
human_individual,1,human_62b8d931,8,seed1976_cities_H6,seed1976,Afghani,cities,H6,240,19.0,0.0,40.0,cities,3,100.07757951900686,0.07757951900686066,21550,29.72093023255815,19.307120085015953,24.994400895856675,30.772676371780523,35.5247181266262,38.20988725065048,6.6842860764074885,11.772676371780523,0.1671071519101872,0.2943169092945131,0.20730265233459555,0.18236434108527103,0.7019919814201546,0.00019379844961227703,0.024418604651162742,0.18236434108527103,0.346124031007752,0.4468992248062019
human_individual,1,human_62b8d931,9,seed1976_techs_H1,seed1976,Afghani,techs,H1,90,24.0,0.0,60.0,techs,3,100.36850271528311,0.36850271528311396,93856,16.794202898550715,5.936902485659663,12.822179203539825,17.11559734513274,21.409015486725657,23.985066371681405,3.99985797137008,6.884402654867259,0.06666429952283466,0.11474004424778765,0.2131059768022593,0.0977777777777776,0.5035795975662485,0.20212560386473408,0.6987439613526577,0.0977777777777776,0.00019323671497571956,0.0011594202898548714
human_individual,1,human_62b8d931,10,seed1976_techs_H3,seed1976,Afghani,techs,H3,150,44.0,0.0,60.0,techs,4,100.17455391776559,0.17455391776559281,21965,22.414327202323317,13.073028237585202,16.090555014605645,21.11976630963972,28.25514138817479,34.23007712082261,16.84469992715951,22.88023369036028,0.28074499878599185,0.38133722817267135,0.32695276588925604,0.05343659244917703,0.6103213154825925,0.04666021297192634,0.5965150048402716,0.30125847047434634,0.05343659244917703,0.002129719264278633
