source,group,value,n_forecasts,n_participants,n_questions,crps,mae,normalized_crps,normalized_mae,rps,prob_true_bin,entropy,median_response_time_ms
human_individual,overall,all,240,10,24,156.48713541284573,232.81508236784373,0.17056939734890236,0.2558644612886008,0.2193898339838108,0.20363634717364715,0.832484006599516,28726.0
human_individual,template,cities,80,10,8,5.424941298750294,8.363452230788557,0.13562353246875736,0.20908630576971393,0.1954971445679461,0.1967648513176506,0.8384953937849638,27309.0
human_individual,template,techs,80,10,8,8.911325388127194,13.20409364905467,0.1485220898021199,0.22006822748424448,0.17942086152290865,0.24242988704551907,0.8134205725537068,26591.5
human_individual,template,treasury,80,10,8,455.1251395516597,676.877701223688,0.22756256977582984,0.338438850611844,0.28325149586057763,0.17171430315777184,0.8455360534598774,34269.5
human_individual,horizon,H1,60,10,6,93.96745291980017,145.17679912399655,0.12667438034837414,0.19309733974593118,0.19692101353366176,0.22010846962940747,0.8232148446383668,37716.5
human_individual,horizon,H3,60,10,6,104.00515376969517,171.56411011862735,0.14218132701289288,0.22123719776363848,0.16525617328643952,0.24275492992180434,0.8350077633224884,27882.5
human_individual,horizon,H4,60,10,6,219.10652756871372,314.3288482927497,0.19920633656853803,0.29672999831828395,0.2791702281516852,0.15639100991858065,0.8432755977544478,25456.0
human_individual,horizon,H6,60,10,6,208.86940739317382,300.1905719360014,0.2142155454658044,0.31239330932654963,0.2362119209634567,0.19529097922479616,0.8284378206827611,26311.5
human_individual,world_id,seed1327,120,10,12,161.79560762025667,243.67983822812306,0.1632660735073279,0.2477167741262929,0.2171171839731224,0.21930215948707868,0.8435454233124426,30444.0
human_individual,world_id,seed1976,120,10,12,151.1786632054348,221.95032650756443,0.1778727211904768,0.2640121484509087,0.22166248399449917,0.18797053486021564,0.8214225898865894,26901.0
human_crowd_mean,overall,all,24,10,24,142.2901627289266,225.43215521842336,0.15426794520828188,0.24518862339666675,0.19734638919614106,0.20362855019328024,0.9386328112401157,0
human_crowd_mean,template,cities,8,10,8,4.851169273828699,7.99797168463834,0.12127923184571748,0.19994929211595852,0.1767821522595326,0.1967785122451542,0.9280555963789439,0
human_crowd_mean,template,techs,8,10,8,8.073089339545522,12.461896768374796,0.13455148899242536,0.20769827947291328,0.1594992563000518,0.24246220842381555,0.9248094839807707,0
human_crowd_mean,template,treasury,8,10,8,413.94622957340556,655.8365972022569,0.2069731147867028,0.3279182986011285,0.2557577590288388,0.17164492991087102,0.9630333533606326,0
human_crowd_mean,horizon,H1,6,10,6,82.28597463806126,122.73286331708985,0.11443639309035823,0.17084185255989873,0.1773698109979915,0.2201532682810194,0.9259990052430571,0
human_crowd_mean,horizon,H3,6,10,6,91.93094957152141,160.54869752415073,0.1257701372350917,0.21031788057407072,0.14278574997519117,0.2427163397525217,0.9414338658455171,0
human_crowd_mean,horizon,H4,6,10,6,207.82076963034987,315.08392044913006,0.18489303531782497,0.29950890230540506,0.26020179104045005,0.15641317521205955,0.9433141960645783,0
human_crowd_mean,horizon,H6,6,10,6,187.12295707577383,303.3631395833228,0.19197221518985258,0.3000858581472925,0.20902820477093154,0.19523141752752038,0.9437841778073103,0
human_crowd_mean,world_id,seed1327,12,10,12,146.40190237083587,236.34340897901473,0.14713378901713162,0.2291599745138011,0.19268145514936458,0.21932877776361648,0.955292139185017,0
human_crowd_mean,world_id,seed1976,12,10,12,138.1784230870173,214.52090145783197,0.16140210139943212,0.2612172722795324,0.20201132324291757,0.187928322622944,0.9219734832952144,0
uniform_bins,overall,all,24,0,24,120.78333333333332,206.25,0.1522777777777778,0.23530555555555555,0.19166666666666665,0.2,1.0000000000000002,0
uniform_bins,template,cities,8,0,8,4.755,5.875,0.11887500000000001,0.146875,0.1625,0.2,1.0000000000000002,0
uniform_bins,template,techs,8,0,8,9.845,15.625,0.16408333333333336,0.2604166666666667,0.19375,0.2,1.0000000000000002,0
uniform_bins,template,treasury,8,0,8,347.74999999999994,597.25,0.17387499999999997,0.298625,0.21874999999999997,0.2,1.0000000000000002,0
uniform_bins,horizon,H1,6,0,6,92.39999999999998,129.0,0.12989444444444442,0.2001388888888889,0.18333333333333332,0.2,1.0000000000000002,0
uniform_bins,horizon,H3,6,0,6,97.56666666666666,181.5,0.13192222222222222,0.20727777777777778,0.15833333333333333,0.2,1.0000000000000002,0
uniform_bins,horizon,H4,6,0,6,153.26666666666665,267.3333333333333,0.15746666666666667,0.24977777777777777,0.21666666666666667,0.2,1.0000000000000002,0
uniform_bins,horizon,H6,6,0,6,139.89999999999998,247.16666666666666,0.1898277777777778,0.28402777777777777,0.20833333333333334,0.2,1.0000000000000002,0
uniform_bins,world_id,seed1327,12,0,12,128.03333333333333,230.0,0.14688333333333334,0.2251111111111111,0.19583333333333333,0.2,1.0000000000000002,0
uniform_bins,world_id,seed1976,12,0,12,113.53333333333332,182.5,0.15767222222222224,0.2455,0.1875,0.2,1.0000000000000002,0
