source,resample_unit,group,value,metric,point_estimate,ci_low,ci_high,bootstrap_samples
human_individual,participant,overall,all,normalized_crps,0.17056939734890236,0.15671152254948392,0.1851476389299971,10000
human_individual,participant,overall,all,normalized_mae,0.2558644612886008,0.23471109457814662,0.2769999381636184,10000
human_individual,participant,overall,all,rps,0.2193898339838108,0.20118030304054357,0.23859790876459414,10000
human_crowd_mean,question,overall,all,normalized_crps,0.15426794520828188,0.1256977431644472,0.1854412843190928,10000
human_crowd_mean,question,overall,all,normalized_mae,0.24518862339666675,0.1961365496317157,0.2961849719029141,10000
human_crowd_mean,question,overall,all,rps,0.19734638919614106,0.15542460634779928,0.24377554393080977,10000
uniform_bins,question,overall,all,normalized_crps,0.1522777777777778,0.12978444444444445,0.17771475694444439,10000
uniform_bins,question,overall,all,normalized_mae,0.23530555555555555,0.17915729166666666,0.2921949652777778,10000
uniform_bins,question,overall,all,rps,0.19166666666666665,0.15833333333333333,0.22708333333333336,10000
human_crowd_mean_minus_uniform,question,overall,all,normalized_crps,0.0019901674305040948,-0.01508145111544153,0.019488961339386927,10000
