row,cell_id,world,world_index,qid,rev_id,horizon,block,family,rev_kind,from_bank,control_no_news,p,p_given,delta,nx,question,reveal
0,seed7005:b726|seed7005:r28,seed7005,2,seed7005:b726,seed7005:r28,120,A,EX_government_at,civ_govchange,True,False,0.844,0.844,0.0,1000,Will Saka's government be Republic at turn 120?,Greek changed its form of government (not counting a spell of anarchy).
1,seed7010:b748|seed7010:r7,seed7010,4,seed7010:b748,seed7010:r7,120,A,EX_comparative,pair_peace,True,False,0.708,0.7661290322580645,0.05812903225806454,124,Will Beninese have a higher population than Fijian at turn 120?,American and Spanish signed a peace treaty.
2,seed7014:b772|seed7014:r23,seed7014,6,seed7014:b772,seed7014:r23,120,A,S4_gov_change_count,civ_lost,True,False,0.522,0.5177228786251342,-0.0042771213748658,931,"Will Bissau-Guinean's government change at least 3 times by turn 120? (Anarchy counts as a form of government, for this question.)",Trinidadian and Tobagonian lost a city.
3,seed7022:b516|seed7022:r11,seed7022,7,seed7022:b516,seed7022:r11,120,A,NW5_wonder,pair_war_began,True,True,0.338,0.36633663366336633,0.028336633663366306,101,Will the Great Wall be completed by any civilization by turn 120?,Pelasgian and Abyssinian went to war.
4,seed7003:b687|seed7003:r30,seed7003,1,seed7003:b687,seed7003:r30,120,A,NW2_diplo,civ_cities_grew4,True,False,0.848,0.8467908902691511,-0.0012091097308488674,966,Will Ghana and Sammarinese reach a cease-fire or armistice at any point between turns 61 and 120?,Rhenish had at least four more cities at turn 90 than at turn 60.
5,seed7008:b1260|seed7008:r37,seed7008,3,seed7008:b1260,seed7008:r37,120,A,NB1_threshold,civ_captured,True,False,0.28,0.28865979381443296,0.008659793814432937,485,Will Somali's number of technologies be at least 39 at turn 120?,Peruvian captured a city.
6,seed7001:b1021|seed7001:r17,seed7001,0,seed7001:b1021,seed7001:r17,120,A,NEW_civil_war,pair_contact,True,False,0.058,0.05638297872340425,-0.0016170212765957495,940,Will Santomean suffer a civil war (a breakaway civilization splitting off) by turn 120?,Estonian and Sahrawi made first contact.
7,seed7011:b762|seed7011:r52,seed7011,5,seed7011:b762,seed7011:r52,120,A,NB6_event,civ_lost3,True,False,0.921,0.969187675070028,0.04818767507002797,357,Will at least 20 cities be conquered (in total) by turn 120?,American lost at least three cities.
8,seed7010:b931|seed7010:r46,seed7010,4,seed7010:b931,seed7010:r46,120,A,W5_tech_lead,civ_lost,True,True,0.536,0.536,0.0,1000,Will American know strictly more technologies than every other civilization at turn 120?,Fijian lost a city.
9,seed7005:b1050|seed7005:r36,seed7005,2,seed7005:b1050,seed7005:r36,120,B,EX_government_at,civ_govchange,True,True,0.609,0.609,0.0,1000,Will Cañari's government be Republic at turn 120?,Cañari changed its form of government (not counting a spell of anarchy).
10,seed7003:b698|seed7003:r15,seed7003,1,seed7003:b698,seed7003:r15,120,B,EX_comparative,pair_ceasefire,True,False,0.091,0.06772908366533864,-0.023270916334661357,251,Will Ghana have a higher population than Corsican at turn 120?,Sammarinese and Corsican reached a cease-fire or armistice.
