path,file,run_id,nq,sampling_mode,questions_per_template,questions_per_horizon_template,question_type_filter,unique_templates
/Users/jaeholee0404/civbench/archive/20260216_230723/evaluations/parallel_eval_all19_allq_seed42.json,parallel_eval_all19_allq_seed42.json,20260210_030840,4235,template,9999.0,,,10
/Users/jaeholee0404/civbench/archive/20260302_121948/evaluations/runs/gold500_baseline_binary_all.json,gold500_baseline_binary_all.json,20260217_115234,2352,all,,,binary,10
/Users/jaeholee0404/civbench/archive/20260302_121948/evaluations/runs/gold500_baseline_binary_all.anthropic_retry.json,gold500_baseline_binary_all.anthropic_retry.json,20260217_115234,2352,all,,,binary,10
/Users/jaeholee0404/civbench/archive/20260302_121948/evaluations/runs/republic_baseline_binary_all.json,republic_baseline_binary_all.json,20260217_113116,2352,all,,,binary,10
/Users/jaeholee0404/civbench/archive/20260302_121948/evaluations/runs/republic_baseline_binary_all.anthropic_retry.json,republic_baseline_binary_all.anthropic_retry.json,20260217_113116,2352,all,,,binary,10
/Users/jaeholee0404/civbench/archive/20260206_220931/evaluations/parallel_eval_42_20260203_173157.json,parallel_eval_42_20260203_173157.json,20260203_173157,1120,horizon_template_game,10.0,2.0,,10
/Users/jaeholee0404/civbench/archive/20260206_220931/evaluations/parallel_eval_42_20260204_093203.json,parallel_eval_42_20260204_093203.json,20260204_093203,1120,horizon_template_game,10.0,2.0,,10
/Users/jaeholee0404/civbench/archive/20260206_220931/evaluations/parallel_eval_42_20260203_213150.json,parallel_eval_42_20260203_213150.json,20260203_213150,1120,horizon_template_game,10.0,2.0,,10
/Users/jaeholee0404/civbench/archive/20260206_220931/evaluations/parallel_eval_42_20260203_221446.json,parallel_eval_42_20260203_221446.json,20260203_221446,1120,horizon_template_game,10.0,2.0,,10
/Users/jaeholee0404/civbench/archive/20260206_220931/evaluations/parallel_eval_42_20260203_165815.json,parallel_eval_42_20260203_165815.json,20260203_165815,1120,horizon_template_game,10.0,2.0,,10
/Users/jaeholee0404/civbench/archive/20260206_220931/evaluations/parallel_eval_42_20260203_131032.json,parallel_eval_42_20260203_131032.json,20260203_131032,1120,horizon_template_game,10.0,2.0,,10
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251228_205638.json,parallel_eval_42_20251228_205638.json,20251228_205638,824,,,,,17
/Users/jaeholee0404/civbench/archive/20260202_121115/evaluations/parallel_eval_42_20260128_022638.json,parallel_eval_42_20260128_022638.json,20260128_022638,800,horizon_template,10.0,10.0,,20
/Users/jaeholee0404/civbench/archive/20260202_121115/evaluations/parallel_eval_42_20260127_010500.json,parallel_eval_42_20260127_010500.json,20260127_010500,400,horizon_template,10.0,5.0,,20
