model,input_price_per_1m,output_price_per_1m,cost_usd_r0_regular_unconditional
Claude-Sonnet-4-5-20250929 (zero shot),3.0,15.0,4.731940499999999
Grok-4-0709 (zero shot),3.0,15.0,4.731940499999999
Claude-Sonnet-4-20250514 (zero shot),3.0,15.0,4.731940499999999
Mistral-Large-2407 (zero shot),3.0,9.0,4.599767099999999
GPT-4o (zero shot),2.5,10.0,3.8882115
Gemini-3-Pro-Preview (zero shot),2.0,12.0,3.1986847999999997
O3-2025-04-16 (zero shot),2.0,8.0,3.1105692
GPT-4.1-2025-04-14 (zero shot),2.0,8.0,3.1105692
Mistral-Large-2411 (zero shot),2.0,6.0,3.0665114
GPT-5-2025-08-07 (zero shot),1.25,10.0,2.05425025
Gemini-2.5-Pro (zero shot),1.25,10.0,2.05425025
GPT-5.1-2025-11-13 (zero shot),1.25,10.0,2.05425025
DeepSeek-V3 (zero shot),1.25,1.25,1.861497375
O4-Mini-2025-04-16 (zero shot),1.1,4.4,1.71081306
O3-Mini-2025-01-31 (zero shot),1.1,4.4,1.71081306
Claude-Haiku-4-5-20251001 (zero shot),1.0,5.0,1.5773135
Kimi-K2-Instruct-0905 (zero shot),1.0,3.0,1.5332557
Kimi-K2-Instruct (zero shot),1.0,3.0,1.5332557
Llama-3.3-70B-Instruct-Turbo (zero shot),0.88,0.88,1.310494152
DeepSeek-V3.1 (zero shot),0.6,1.7,0.91775053
Mixtral-8x7B-Instruct-V0.1 (zero shot),0.6,0.6,0.8935187399999999
Mistral-Large-Latest (zero shot),0.5,1.5,0.76662785
GPT-3.5-Turbo-0125 (zero shot),0.5,1.5,0.76662785
Gemini-2.5-Flash (zero shot),0.3,2.5,0.49522294999999994
GPT-5-Mini-2025-08-07 (zero shot),0.25,2.0,0.41085004999999997
Claude-3-Haiku-20240307 (zero shot),0.25,1.25,0.394328375
GLM-4.5-Air-FP8 (zero shot),0.2,1.1,0.31766559000000005
Grok-4-Fast-Reasoning (zero shot),0.2,0.5,0.30444825000000003
Grok-4-1-Fast-Reasoning (zero shot),0.2,0.5,0.30444825000000003
Grok-4-1-Fast-Non-Reasoning (zero shot),0.2,0.5,0.30444825000000003
Grok-4-Fast-Non-Reasoning (zero shot),0.2,0.5,0.30444825000000003
Gemini-2.0-Flash-Lite-001 (zero shot),0.075,0.3,0.11664634499999998
GPT-5-Nano-2025-08-07 (zero shot),0.05,0.4,0.08217001
