Rank,Model,input_price_per_1m,output_price_per_1m,cost_archive_all_o200k_r0_usd,cost_archive_all_o200k_r1_usd,cost_archive_all_o200k_r3_usd
93,Gemini-1.5-Flash (zero shot),0.075,0.3,0.51907779,0.5616484799999999,0.6467898599999999
75,Gemini-2.0-Flash-Lite-001 (zero shot),0.075,0.3,0.51907779,0.5616484799999999,0.6467898599999999
49,GPT-5-Nano-2025-08-07 (zero shot),0.05,0.4,0.37443232000000004,0.43119324000000003,0.54471508
32,Grok-4-Fast-Reasoning (zero shot),0.2,0.5,1.3416367500000002,1.4125879000000001,1.5544902
13,Grok-4-1-Fast-Reasoning (zero shot),0.2,0.5,1.3416367500000002,1.4125879000000001,1.5544902
78,Grok-4-1-Fast-Non-Reasoning (zero shot),0.2,0.5,1.3416367500000002,1.4125879000000001,1.5544902
2,Grok-4-Fast-Non-Reasoning (zero shot),0.2,0.5,1.3416367500000002,1.4125879000000001,1.5544902
53,Llama-4-Scout-17B-16E-Instruct (zero shot),0.18,0.59,1.2273393970000002,1.311061754,1.478506468
13,Gemini-2.5-Flash-Preview-04-17 (zero shot),0.15,0.6,1.03815558,1.1232969599999998,1.2935797199999999
39,Qwen3-235B-A22B-Fp8-Tput (zero shot),0.2,0.6,1.3558269800000002,1.4409683600000003,1.6112511200000001
83,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.6,0.6,3.8971981799999997,3.98233956,4.15262232
37,Llama-3.3-70B-Instruct-Turbo (zero shot),0.88,0.88,5.715890664,5.840764687999999,6.090512735999999
75,GLM-4.5-Air-FP8 (zero shot),0.2,1.1,1.4267781300000002,1.5828706600000002,1.8950557200000002
94,Claude-3-Haiku-20240307 (zero shot),0.25,1.25,1.765734875,1.94311275,2.2978685
40,DeepSeek-V3 (zero shot),1.25,1.25,8.119162875,8.29654075,8.6512965
86,Mistral-Large-Latest (zero shot),0.5,1.5,3.38956745,3.6024209,4.0281278
104,GPT-3.5-Turbo-0125 (zero shot),0.5,1.5,3.38956745,3.6024209,4.0281278
64,DeepSeek-V3.1 (zero shot),0.6,1.7,4.05329071,4.29452462,4.77699244
21,GPT-5-Mini-2025-08-07 (zero shot),0.25,2.0,1.8721616,2.1559662,2.7235753999999996
50,Gemini-2.5-Flash (zero shot),0.3,2.5,2.2607841499999997,2.6155399,3.3250513999999995
35,Kimi-K2-Instruct-0905 (zero shot),1.0,3.0,6.7791349,7.2048418,8.0562556
59,Kimi-K2-Instruct (zero shot),1.0,3.0,6.7791349,7.2048418,8.0562556
24,Meta-Llama-3.1-405B-Instruct-Turbo (zero shot),3.5,3.5,22.73365605,23.2303141,24.2236302
11,O4-Mini-2025-04-16 (zero shot),1.1,4.4,7.613140920000001,8.237511040000001,9.486251280000001
27,O3-Mini-2025-01-31 (zero shot),1.1,4.4,7.613140920000001,8.237511040000001,9.486251280000001
22,Claude-Haiku-4-5-20251001 (zero shot),1.0,5.0,7.0629395,7.772451,9.191474
87,Gemini-1.5-Pro (zero shot),1.25,5.0,8.6512965,9.360808,10.779831
73,Mistral-Large-2411 (zero shot),2.0,6.0,13.5582698,14.4096836,16.1125112
19,O3-2025-04-16 (zero shot),2.0,8.0,13.8420744,14.9772928,17.2477296
28,GPT-4.1-2025-04-14 (zero shot),2.0,8.0,13.8420744,14.9772928,17.2477296
66,Mistral-Large-2407 (zero shot),3.0,9.0,20.3374047,21.614525399999998,24.1687668
24,GPT-5-2025-08-07 (zero shot),1.25,10.0,9.360808,10.779831,13.617877
9,Gemini-2.5-Pro-Preview-03-25 (zero shot),1.25,10.0,9.360808,10.779831,13.617877
32,Gemini-2.5-Pro (zero shot),1.25,10.0,9.360808,10.779831,13.617877
66,GPT-5.1-2025-11-13 (zero shot),1.25,10.0,9.360808,10.779831,13.617877
77,GPT-4o (zero shot),2.5,10.0,17.302593,18.721616,21.559662
13,Gemini-3-Pro-Preview (zero shot),2.0,12.0,14.4096836,16.1125112,19.5181664
6,Claude-Sonnet-4-5-20250929 (zero shot),3.0,15.0,21.1888185,23.317353,27.574422
30,Grok-4-0709 (zero shot),3.0,15.0,21.1888185,23.317353,27.574422
43,Claude-3-7-Sonnet-20250219 (zero shot),3.0,15.0,21.1888185,23.317353,27.574422
35,Claude-Sonnet-4-20250514 (zero shot),3.0,15.0,21.1888185,23.317353,27.574422
28,Claude-3-5-Sonnet-20241022 (zero shot),3.0,15.0,21.1888185,23.317353,27.574422
43,Claude-3-5-Sonnet-20240620 (zero shot),3.0,15.0,21.1888185,23.317353,27.574422
