Rank,Model,input_price_per_1m,output_price_per_1m,unconditional_binary_r0_usd,unconditional_binary_r1_usd,unconditional_binary_r3_usd,unconditional_continuous_r0_usd,unconditional_continuous_r1_usd,unconditional_continuous_r3_usd,conditional_binary_r0_usd,conditional_binary_r1_usd,conditional_binary_r3_usd,conditional_continuous_r0_usd,conditional_continuous_r1_usd,conditional_continuous_r3_usd,total_r0_usd,total_r1_usd,total_r3_usd
93,Gemini-1.5-Flash (zero shot),0.075,0.3,0.096151965,0.099286005,0.10555408499999999,0.02049438,0.02396901,0.03091827,0.053069939999999996,0.054642779999999995,0.05778846,0.010386615,0.012113505,0.015567285,0.1801029,0.1900113,0.20982809999999996
75,Gemini-2.0-Flash-Lite-001 (zero shot),0.075,0.3,0.096151965,0.099286005,0.10555408499999999,0.02049438,0.02396901,0.03091827,0.053069939999999996,0.054642779999999995,0.05778846,0.010386615,0.012113505,0.015567285,0.1801029,0.1900113,0.20982809999999996
49,GPT-5-Nano-2025-08-07 (zero shot),0.05,0.4,0.06619067000000001,0.07036939,0.07872683,0.01597934,0.02061218,0.02987786,0.03642852,0.03852564,0.04271988,0.00807567,0.01037819,0.01498323,0.12667420000000001,0.13988540000000002,0.1663078
32,Grok-4-Fast-Reasoning (zero shot),0.2,0.5,0.25327120000000003,0.2584946,0.2689414,0.05117705,0.0569681,0.0685502,0.139947,0.14256839999999998,0.1478112,0.02597075,0.0288489,0.0346052,0.470366,0.48688000000000003,0.519908
13,Grok-4-1-Fast-Reasoning (zero shot),0.2,0.5,0.25327120000000003,0.2584946,0.2689414,0.05117705,0.0569681,0.0685502,0.139947,0.14256839999999998,0.1478112,0.02597075,0.0288489,0.0346052,0.470366,0.48688000000000003,0.519908
78,Grok-4-1-Fast-Non-Reasoning (zero shot),0.2,0.5,0.25327120000000003,0.2584946,0.2689414,0.05117705,0.0569681,0.0685502,0.139947,0.14256839999999998,0.1478112,0.02597075,0.0288489,0.0346052,0.470366,0.48688000000000003,0.519908
2,Grok-4-Fast-Non-Reasoning (zero shot),0.2,0.5,0.25327120000000003,0.2584946,0.2689414,0.05117705,0.0569681,0.0685502,0.139947,0.14256839999999998,0.1478112,0.02597075,0.0288489,0.0346052,0.470366,0.48688000000000003,0.519908
53,Llama-4-Scout-17B-16E-Instruct (zero shot),0.18,0.59,0.229406632,0.23557024399999998,0.24789746799999998,0.047680839,0.054514278,0.06818115599999999,0.12668629199999998,0.129779544,0.13596604799999998,0.024179557,0.027575774,0.034368208,0.42795331999999997,0.44743984000000003,0.48641288
13,Gemini-2.5-Flash-Preview-04-17 (zero shot),0.15,0.6,0.19230393,0.19857201,0.21110816999999998,0.04098876,0.04793802,0.06183654,0.10613987999999999,0.10928555999999999,0.11557692,0.02077323,0.02422701,0.03113457,0.3602058,0.3800226,0.4196561999999999
39,Qwen3-235B-A22B-Fp8-Tput (zero shot),0.2,0.6,0.25431588,0.26058396,0.27312012,0.05233526,0.05928452000000001,0.07318304,0.14047128,0.14361696,0.14990831999999998,0.02654638,0.03000016,0.036907720000000005,0.4736688,0.4934856,0.5331192
83,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.6,0.6,0.75041148,0.75667956,0.76921572,0.14310726000000001,0.15005652,0.16395504,0.41512247999999996,0.41826816,0.42455951999999997,0.07273158,0.07618536000000001,0.08309292,1.3813727999999998,1.4011896000000001,1.4408232
37,Llama-3.3-70B-Instruct-Turbo (zero shot),0.88,0.88,1.100603504,1.109796688,1.1281830560000001,0.20989064799999999,0.220082896,0.240467392,0.608846304,0.613459968,0.622687296,0.10667298400000001,0.111738528,0.12186961600000001,2.02601344,2.0550780800000004,2.11320736
75,GLM-4.5-Air-FP8 (zero shot),0.2,1.1,0.25953928000000004,0.27103076000000004,0.29401372000000003,0.05812631,0.07086662,0.09634724,0.14309268,0.14885976,0.16039392,0.02942453,0.035756460000000004,0.04842032,0.49018280000000003,0.5265136,0.5991752
94,Claude-3-Haiku-20240307 (zero shot),0.25,1.25,0.32311825000000005,0.33617675,0.36229375,0.071210125,0.08568775,0.114643,0.1782105,0.184764,0.19787100000000002,0.036061125,0.0432565,0.05764725,0.6086,0.649885,0.7324550000000001
40,DeepSeek-V3 (zero shot),1.25,1.25,1.5633572500000001,1.57641575,1.60253275,0.298140125,0.31261774999999997,0.34157299999999996,0.8648385,0.8713919999999999,0.8844989999999999,0.151524125,0.1587195,0.17311025000000002,2.87786,2.9191450000000003,3.001715
86,Mistral-Large-Latest (zero shot),0.5,1.5,0.6357897,0.6514599000000001,0.6828003,0.13083815,0.1482113,0.1829576,0.3511782,0.3590424,0.3747708,0.06636594999999999,0.0750004,0.0922693,1.184172,1.233714,1.332798
104,GPT-3.5-Turbo-0125 (zero shot),0.5,1.5,0.6357897,0.6514599000000001,0.6828003,0.13083815,0.1482113,0.1829576,0.3511782,0.3590424,0.3747708,0.06636594999999999,0.0750004,0.0922693,1.184172,1.233714,1.332798
