Rank,Model,input_price_per_1m,output_price_per_1m,cost_o200k_r0_usd,cost_o200k_r1_usd,cost_o200k_r3_usd,cost_cl100k_r1_usd
93,Gemini-1.5-Flash (zero shot),0.075,0.3,0.1801029,0.1900113,0.2098281,0.19168514999999997
75,Gemini-2.0-Flash-Lite-001 (zero shot),0.075,0.3,0.1801029,0.1900113,0.2098281,0.19168514999999997
49,GPT-5-Nano-2025-08-07 (zero shot),0.05,0.4,0.1266742,0.1398854,0.1663078,0.1409265
32,Grok-4-Fast-Reasoning (zero shot),0.2,0.5,0.47036599999999995,0.48688,0.519908,0.49145580000000005
13,Grok-4-1-Fast-Reasoning (zero shot),0.2,0.5,0.47036599999999995,0.48688,0.519908,0.49145580000000005
78,Grok-4-1-Fast-Non-Reasoning (zero shot),0.2,0.5,0.47036599999999995,0.48688,0.519908,0.49145580000000005
2,Grok-4-Fast-Non-Reasoning (zero shot),0.2,0.5,0.47036599999999995,0.48688,0.519908,0.49145580000000005
53,Llama-4-Scout-17B-16E-Instruct (zero shot),0.18,0.59,0.42795331999999997,0.44743984,0.48641287999999994,0.4515057
13,Gemini-2.5-Flash-Preview-04-17 (zero shot),0.15,0.6,0.3602058,0.3800226,0.4196562,0.38337029999999994
39,Qwen3-235B-A22B-Fp8-Tput (zero shot),0.2,0.6,0.4736688,0.49348559999999997,0.5331192,0.498024
83,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.6,0.6,1.3813728,1.4011896,1.4408232,1.4152535999999998
37,Llama-3.3-70B-Instruct-Turbo (zero shot),0.88,0.88,2.02601344,2.05507808,2.11320736,2.07570528
75,GLM-4.5-Air-FP8 (zero shot),0.2,1.1,0.4901828,0.5265136,0.5991752,0.530865
94,Claude-3-Haiku-20240307 (zero shot),0.25,1.25,0.6086,0.649885,0.7324550000000001,0.6553709999999999
40,DeepSeek-V3 (zero shot),1.25,1.25,2.8778599999999996,2.919145,3.001715,2.948445
86,Mistral-Large-Latest (zero shot),0.5,1.5,1.184172,1.233714,1.332798,1.2450599999999998
104,GPT-3.5-Turbo-0125 (zero shot),0.5,1.5,1.184172,1.233714,1.332798,1.2450599999999998
64,DeepSeek-V3.1 (zero shot),0.6,1.7,1.4177036,1.4738512,1.5861464,1.4875037999999998
21,GPT-5-Mini-2025-08-07 (zero shot),0.25,2,0.633371,0.699427,0.831539,0.7046325
50,Gemini-2.5-Flash (zero shot),0.3,2.5,0.763348,0.845918,1.011058,0.8521272
35,Kimi-K2-Instruct-0905 (zero shot),1,3,2.368344,2.467428,2.665596,2.4901199999999997
59,Kimi-K2-Instruct (zero shot),1,3,2.368344,2.467428,2.665596,2.4901199999999997
24,Meta-Llama-3.1-405B-Instruct-Turbo (zero shot),3.5,3.5,8.058008,8.173606,8.404802,8.255646
11,O4-Mini-2025-04-16 (zero shot),1.1,4.4,2.6415092,2.7868323999999998,3.0774787999999997,2.8113822000000006
27,O3-Mini-2025-01-31 (zero shot),1.1,4.4,2.6415092,2.7868323999999998,3.0774787999999997,2.8113822000000006
22,Claude-Haiku-4-5-20251001 (zero shot),1,5,2.4344,2.59954,2.9298200000000003,2.6214839999999997
87,Gemini-1.5-Pro (zero shot),1.25,5,3.001715,3.166855,3.497135,3.1947525
73,Mistral-Large-2411 (zero shot),2,6,4.736688,4.934856,5.331192,4.980239999999999
19,O3-2025-04-16 (zero shot),2,8,4.802744000000001,5.066968,5.595416,5.111604
28,GPT-4.1-2025-04-14 (zero shot),2,8,4.802744000000001,5.066968,5.595416,5.111604
66,Mistral-Large-2407 (zero shot),3,9,7.1050320000000005,7.402284,7.9967880000000005,7.47036
24,GPT-5-2025-08-07 (zero shot),1.25,10,3.166855,3.497135,4.157695,3.5231624999999998
9,Gemini-2.5-Pro-Preview-03-25 (zero shot),1.25,10,3.166855,3.497135,4.157695,3.5231624999999998
32,Gemini-2.5-Pro (zero shot),1.25,10,3.166855,3.497135,4.157695,3.5231624999999998
66,GPT-5.1-2025-11-13 (zero shot),1.25,10,3.166855,3.497135,4.157695,3.5231624999999998
77,GPT-4o (zero shot),2.5,10,6.00343,6.33371,6.99427,6.389505
13,Gemini-3-Pro-Preview (zero shot),2,12,4.934856,5.331192,6.123864,5.374332
6,Claude-Sonnet-4-5-20250929 (zero shot),3,15,7.3032,7.7986200000000006,8.78946,7.864452
30,Grok-4-0709 (zero shot),3,15,7.3032,7.7986200000000006,8.78946,7.864452
43,Claude-3-7-Sonnet-20250219 (zero shot),3,15,7.3032,7.7986200000000006,8.78946,7.864452
35,Claude-Sonnet-4-20250514 (zero shot),3,15,7.3032,7.7986200000000006,8.78946,7.864452
28,Claude-3-5-Sonnet-20241022 (zero shot),3,15,7.3032,7.7986200000000006,8.78946,7.864452
43,Claude-3-5-Sonnet-20240620 (zero shot),3,15,7.3032,7.7986200000000006,8.78946,7.864452
