requested_name,model_id,probe_status,spend_row_present,spend_success_calls,spend_failure_calls,spend_cost_total_usd,spend_prompt_tokens_total,spend_completion_tokens_total,spend_total_tokens_total,spend_usage_missing_calls,spend_cost_missing_calls
Claude-Sonnet-4-5-20250929,anthropic/claude-sonnet-4-5-20250929,ok,false,,,,,,,,
Grok-4-0709,xai/grok-4-0709,ok,false,,,,,,,,
Claude-Sonnet-4-20250514,anthropic/claude-sonnet-4-20250514,ok,false,,,,,,,,
Mistral-Large-2407,mistral/mistral-large-2407,ok,false,,,,,,,,
GPT-4o,openai/gpt-4o,ok,false,,,,,,,,
Gemini-3-Pro-Preview,google/gemini-3-pro-preview,ok,false,,,,,,,,
O3-2025-04-16,openai/o3-2025-04-16,ok,false,,,,,,,,
GPT-4.1-2025-04-14,openai/gpt-4.1-2025-04-14,ok,false,,,,,,,,
Mistral-Large-2411,mistral/mistral-large-2411,ok,false,,,,,,,,
GPT-5-2025-08-07,openai/gpt-5-2025-08-07,ok,false,,,,,,,,
Gemini-2.5-Pro,google/gemini-2.5-pro,ok,false,,,,,,,,
GPT-5.1-2025-11-13,openai/gpt-5.1-2025-11-13,error,true,0,1,0.0,0,0,0,1,0
DeepSeek-V3,together_ai/deepseek-ai/DeepSeek-V3,ok,false,,,,,,,,
O4-Mini-2025-04-16,openai/o4-mini-2025-04-16,ok,false,,,,,,,,
O3-Mini-2025-01-31,openai/o3-mini-2025-01-31,ok,false,,,,,,,,
Claude-Haiku-4-5-20251001,anthropic/claude-haiku-4-5-20251001,ok,false,,,,,,,,
Kimi-K2-Instruct-0905,together_ai/moonshotai/Kimi-K2-Instruct-0905,error,false,,,,,,,,
Kimi-K2-Instruct,together_ai/moonshotai/Kimi-K2-Instruct,error,false,,,,,,,,
Llama-3.3-70B-Instruct-Turbo,together_ai/meta-llama/Llama-3.3-70B-Instruct-Turbo,ok,false,,,,,,,,
DeepSeek-V3.1,together_ai/deepseek-ai/DeepSeek-V3.1,ok,false,,,,,,,,
Mixtral-8x7B-Instruct-V0.1,together_ai/mistralai/Mixtral-8x7B-Instruct-v0.1,ok,false,,,,,,,,
Mistral-Large-Latest,mistral/mistral-large-latest,ok,false,,,,,,,,
GPT-3.5-Turbo-0125,openai/gpt-3.5-turbo-0125,ok,false,,,,,,,,
Gemini-2.5-Flash,google/gemini-2.5-flash,ok,false,,,,,,,,
GPT-5-Mini-2025-08-07,openai/gpt-5-mini-2025-08-07,ok,false,,,,,,,,
Claude-3-Haiku-20240307,anthropic/claude-3-haiku-20240307,ok,false,,,,,,,,
GLM-4.5-Air-FP8,together_ai/zai-org/GLM-4.5-Air-FP8,ok,false,,,,,,,,
Grok-4-Fast-Reasoning,xai/grok-4-fast-reasoning,ok,false,,,,,,,,
Grok-4-1-Fast-Reasoning,xai/grok-4-1-fast-reasoning,ok,false,,,,,,,,
Grok-4-1-Fast-Non-Reasoning,xai/grok-4-1-fast-non-reasoning,ok,false,,,,,,,,
Grok-4-Fast-Non-Reasoning,xai/grok-4-fast-non-reasoning,ok,false,,,,,,,,
Gemini-2.0-Flash-Lite-001,google/gemini-2.0-flash-lite-001,ok,false,,,,,,,,
GPT-5-Nano-2025-08-07,openai/gpt-5-nano-2025-08-07,error,true,0,1,0.0,0,0,0,1,0
