Rank,Model,input_price_per_1m,output_price_per_1m,cost_archive_all_o200k_r0_usd,cost_archive_all_o200k_r1_usd,cost_archive_all_o200k_r3_usd
93,Gemini-1.5-Flash (zero shot),0.075,0.3,0.519,0.562,0.647
75,Gemini-2.0-Flash-Lite-001 (zero shot),0.075,0.3,0.519,0.562,0.647
49,GPT-5-Nano-2025-08-07 (zero shot),0.05,0.4,0.374,0.431,0.545
32,Grok-4-Fast-Reasoning (zero shot),0.2,0.5,1.342,1.413,1.554
13,Grok-4-1-Fast-Reasoning (zero shot),0.2,0.5,1.342,1.413,1.554
78,Grok-4-1-Fast-Non-Reasoning (zero shot),0.2,0.5,1.342,1.413,1.554
2,Grok-4-Fast-Non-Reasoning (zero shot),0.2,0.5,1.342,1.413,1.554
53,Llama-4-Scout-17B-16E-Instruct (zero shot),0.18,0.59,1.227,1.311,1.479
13,Gemini-2.5-Flash-Preview-04-17 (zero shot),0.15,0.6,1.038,1.123,1.294
39,Qwen3-235B-A22B-Fp8-Tput (zero shot),0.2,0.6,1.356,1.441,1.611
83,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.6,0.6,3.897,3.982,4.153
37,Llama-3.3-70B-Instruct-Turbo (zero shot),0.88,0.88,5.716,5.841,6.091
75,GLM-4.5-Air-FP8 (zero shot),0.2,1.1,1.427,1.583,1.895
94,Claude-3-Haiku-20240307 (zero shot),0.25,1.25,1.766,1.943,2.298
40,DeepSeek-V3 (zero shot),1.25,1.25,8.119,8.297,8.651
86,Mistral-Large-Latest (zero shot),0.5,1.5,3.39,3.602,4.028
104,GPT-3.5-Turbo-0125 (zero shot),0.5,1.5,3.39,3.602,4.028
64,DeepSeek-V3.1 (zero shot),0.6,1.7,4.053,4.295,4.777
21,GPT-5-Mini-2025-08-07 (zero shot),0.25,2.0,1.872,2.156,2.724
50,Gemini-2.5-Flash (zero shot),0.3,2.5,2.261,2.616,3.325
35,Kimi-K2-Instruct-0905 (zero shot),1.0,3.0,6.779,7.205,8.056
59,Kimi-K2-Instruct (zero shot),1.0,3.0,6.779,7.205,8.056
24,Meta-Llama-3.1-405B-Instruct-Turbo (zero shot),3.5,3.5,22.734,23.23,24.224
11,O4-Mini-2025-04-16 (zero shot),1.1,4.4,7.613,8.238,9.486
27,O3-Mini-2025-01-31 (zero shot),1.1,4.4,7.613,8.238,9.486
22,Claude-Haiku-4-5-20251001 (zero shot),1.0,5.0,7.063,7.772,9.191
87,Gemini-1.5-Pro (zero shot),1.25,5.0,8.651,9.361,10.78
73,Mistral-Large-2411 (zero shot),2.0,6.0,13.558,14.41,16.113
19,O3-2025-04-16 (zero shot),2.0,8.0,13.842,14.977,17.248
28,GPT-4.1-2025-04-14 (zero shot),2.0,8.0,13.842,14.977,17.248
66,Mistral-Large-2407 (zero shot),3.0,9.0,20.337,21.615,24.169
24,GPT-5-2025-08-07 (zero shot),1.25,10.0,9.361,10.78,13.618
9,Gemini-2.5-Pro-Preview-03-25 (zero shot),1.25,10.0,9.361,10.78,13.618
32,Gemini-2.5-Pro (zero shot),1.25,10.0,9.361,10.78,13.618
66,GPT-5.1-2025-11-13 (zero shot),1.25,10.0,9.361,10.78,13.618
77,GPT-4o (zero shot),2.5,10.0,17.303,18.722,21.56
13,Gemini-3-Pro-Preview (zero shot),2.0,12.0,14.41,16.113,19.518
6,Claude-Sonnet-4-5-20250929 (zero shot),3.0,15.0,21.189,23.317,27.574
30,Grok-4-0709 (zero shot),3.0,15.0,21.189,23.317,27.574
43,Claude-3-7-Sonnet-20250219 (zero shot),3.0,15.0,21.189,23.317,27.574
35,Claude-Sonnet-4-20250514 (zero shot),3.0,15.0,21.189,23.317,27.574
28,Claude-3-5-Sonnet-20241022 (zero shot),3.0,15.0,21.189,23.317,27.574
43,Claude-3-5-Sonnet-20240620 (zero shot),3.0,15.0,21.189,23.317,27.574
