model,band,n,q,p
anthropic/claude-fable-5,0,96,0.0863,0.2309
anthropic/claude-fable-5,1,54,0.1849,0.1896
anthropic/claude-fable-5,2,83,0.2713,0.2461
anthropic/claude-fable-5,3,67,0.3645,0.253
anthropic/claude-fable-5,4,67,0.452,0.2751
anthropic/claude-fable-5,5,83,0.54,0.3082
anthropic/claude-fable-5,6,60,0.6255,0.3672
anthropic/claude-fable-5,7,90,0.7356,0.3564
anthropic/claude-fable-5,8,48,0.8099,0.4175
anthropic/claude-fable-5,9,102,0.9132,0.4058
anthropic/claude-opus-5,0,96,0.0863,0.2003
anthropic/claude-opus-5,1,54,0.1849,0.1787
anthropic/claude-opus-5,2,83,0.2713,0.2299
anthropic/claude-opus-5,3,67,0.3645,0.2222
anthropic/claude-opus-5,4,67,0.452,0.2482
anthropic/claude-opus-5,5,83,0.54,0.2711
anthropic/claude-opus-5,6,60,0.6255,0.3408
anthropic/claude-opus-5,7,90,0.7356,0.3039
anthropic/claude-opus-5,8,48,0.8099,0.4031
anthropic/claude-opus-5,9,102,0.9132,0.356
openai/gpt-5.6-sol,0,96,0.0863,0.3844
openai/gpt-5.6-sol,1,54,0.1849,0.3654
openai/gpt-5.6-sol,2,83,0.2713,0.3963
openai/gpt-5.6-sol,3,67,0.3645,0.4407
openai/gpt-5.6-sol,4,67,0.452,0.4402
openai/gpt-5.6-sol,5,83,0.54,0.4812
openai/gpt-5.6-sol,6,60,0.6255,0.5284
openai/gpt-5.6-sol,7,90,0.7356,0.5314
openai/gpt-5.6-sol,8,48,0.8099,0.5354
openai/gpt-5.6-sol,9,102,0.9132,0.5969
openai/gpt-5.5,0,96,0.0863,0.335
openai/gpt-5.5,1,54,0.1849,0.3019
openai/gpt-5.5,2,83,0.2713,0.3534
openai/gpt-5.5,3,67,0.3645,0.3694
openai/gpt-5.5,4,67,0.452,0.3555
openai/gpt-5.5,5,83,0.54,0.4121
openai/gpt-5.5,6,60,0.6255,0.4296
openai/gpt-5.5,7,90,0.7356,0.4352
openai/gpt-5.5,8,48,0.8099,0.4706
openai/gpt-5.5,9,102,0.9132,0.4907
google/gemini-3.7-flash,0,96,0.0863,0.3982
google/gemini-3.7-flash,1,54,0.1849,0.3477
google/gemini-3.7-flash,2,83,0.2713,0.4237
google/gemini-3.7-flash,3,67,0.3645,0.4857
google/gemini-3.7-flash,4,67,0.452,0.46
google/gemini-3.7-flash,5,83,0.54,0.534
google/gemini-3.7-flash,6,60,0.6255,0.5463
google/gemini-3.7-flash,7,90,0.7356,0.5548
google/gemini-3.7-flash,8,48,0.8099,0.5996
google/gemini-3.7-flash,9,102,0.9132,0.6007
openai/gpt-5.6-luna,0,96,0.0863,0.3587
openai/gpt-5.6-luna,1,54,0.1849,0.363
openai/gpt-5.6-luna,2,83,0.2713,0.3539
openai/gpt-5.6-luna,3,67,0.3645,0.4429
openai/gpt-5.6-luna,4,67,0.452,0.3953
openai/gpt-5.6-luna,5,83,0.54,0.4434
openai/gpt-5.6-luna,6,60,0.6255,0.4475
openai/gpt-5.6-luna,7,90,0.7356,0.4603
openai/gpt-5.6-luna,8,48,0.8099,0.4832
openai/gpt-5.6-luna,9,102,0.9132,0.5052
anthropic/claude-sonnet-5,0,96,0.0863,0.2317
anthropic/claude-sonnet-5,1,54,0.1849,0.2031
anthropic/claude-sonnet-5,2,83,0.2713,0.2389
anthropic/claude-sonnet-5,3,67,0.3645,0.25
anthropic/claude-sonnet-5,4,67,0.452,0.2752
anthropic/claude-sonnet-5,5,83,0.54,0.3031
anthropic/claude-sonnet-5,6,60,0.6255,0.3502
anthropic/claude-sonnet-5,7,90,0.7356,0.3226
anthropic/claude-sonnet-5,8,48,0.8099,0.4006
anthropic/claude-sonnet-5,9,102,0.9132,0.3959
deepseek/deepseek-v4-flash-0731,0,96,0.0863,0.2968
deepseek/deepseek-v4-flash-0731,1,54,0.1849,0.2773
deepseek/deepseek-v4-flash-0731,2,83,0.2713,0.3349
deepseek/deepseek-v4-flash-0731,3,67,0.3645,0.34
deepseek/deepseek-v4-flash-0731,4,67,0.452,0.3036
deepseek/deepseek-v4-flash-0731,5,83,0.54,0.3849
deepseek/deepseek-v4-flash-0731,6,60,0.6255,0.4097
deepseek/deepseek-v4-flash-0731,7,90,0.7356,0.3858
deepseek/deepseek-v4-flash-0731,8,48,0.8099,0.4582
deepseek/deepseek-v4-flash-0731,9,102,0.9132,0.4799
google/gemini-3-flash-preview,0,96,0.0863,0.4052
google/gemini-3-flash-preview,1,54,0.1849,0.4194
google/gemini-3-flash-preview,2,83,0.2713,0.4345
google/gemini-3-flash-preview,3,67,0.3645,0.4857
google/gemini-3-flash-preview,4,67,0.452,0.4603
google/gemini-3-flash-preview,5,83,0.54,0.5517
google/gemini-3-flash-preview,6,60,0.6255,0.5427
google/gemini-3-flash-preview,7,90,0.7356,0.5362
google/gemini-3-flash-preview,8,48,0.8099,0.581
google/gemini-3-flash-preview,9,102,0.9132,0.5924
openai/gpt-5,0,96,0.0863,0.4097
openai/gpt-5,1,54,0.1849,0.3935
openai/gpt-5,2,83,0.2713,0.4219
openai/gpt-5,3,67,0.3645,0.4639
openai/gpt-5,4,67,0.452,0.4369
openai/gpt-5,5,83,0.54,0.4934
openai/gpt-5,6,60,0.6255,0.4698
openai/gpt-5,7,90,0.7356,0.4776
openai/gpt-5,8,48,0.8099,0.4871
openai/gpt-5,9,102,0.9132,0.5341
openai/o3,0,96,0.0863,0.3633
openai/o3,1,54,0.1849,0.3393
openai/o3,2,83,0.2713,0.3547
openai/o3,3,67,0.3645,0.4015
openai/o3,4,67,0.452,0.3831
openai/o3,5,83,0.54,0.4467
openai/o3,6,60,0.6255,0.4757
openai/o3,7,90,0.7356,0.4488
openai/o3,8,48,0.8099,0.4517
openai/o3,9,102,0.9132,0.4667
openai/gpt-5.4-nano,0,96,0.0863,0.2634
openai/gpt-5.4-nano,1,54,0.1849,0.233
openai/gpt-5.4-nano,2,83,0.2713,0.2482
openai/gpt-5.4-nano,3,67,0.3645,0.2793
openai/gpt-5.4-nano,4,67,0.452,0.2706
openai/gpt-5.4-nano,5,83,0.54,0.3304
openai/gpt-5.4-nano,6,60,0.6255,0.3066
openai/gpt-5.4-nano,7,90,0.7356,0.3376
