model,set,bias,bits,cov90,excess,gain,move,n,ncrps,stay,target
anthropic/claude-fable-5,bank|90,-0.261,0.7538,,0.1571,,,150,,,
anthropic/claude-fable-5,bank|120,-0.2392,0.7398,,0.1632,,,150,,,
anthropic/claude-fable-5,bank|150,-0.1846,0.6039,,0.141,,,150,,,
anthropic/claude-fable-5,bank|180,-0.1357,0.4906,,0.1241,,,150,,,
anthropic/claude-fable-5,bank|210,-0.1578,0.4526,,0.1163,,,150,,,
anthropic/claude-fable-5,bank|all,-0.1956,0.6081,,0.1404,,,750,,,
anthropic/claude-fable-5,tails|90,0.1111,0.1902,,0.0438,,,60,,,
anthropic/claude-fable-5,tails|120,0.1399,0.2487,,0.0552,,,60,,,
anthropic/claude-fable-5,tails|150,0.1456,0.2401,,0.0521,,,60,,,
anthropic/claude-fable-5,tails|180,0.1596,0.266,,0.0607,,,60,,,
anthropic/claude-fable-5,tails|210,0.2435,0.4973,,0.1153,,,60,,,
anthropic/claude-fable-5,tails|all,0.1599,0.2884,,0.0654,,,300,,,
anthropic/claude-fable-5,mirrors|90,-0.5838,1.7178,,0.4389,,,10,,,
anthropic/claude-fable-5,mirrors|120,-0.5409,1.3934,,0.3345,,,10,,,
anthropic/claude-fable-5,mirrors|150,-0.5102,1.4526,,0.3702,,,10,,,
anthropic/claude-fable-5,mirrors|180,-0.5085,1.444,,0.338,,,10,,,
anthropic/claude-fable-5,mirrors|210,-0.432,1.1026,,0.2787,,,10,,,
anthropic/claude-fable-5,mirrors|all,-0.5151,1.4221,,0.3521,,,50,,,
anthropic/claude-fable-5,continuous|90,,,0.6791,0.2141,,,60,0.2834,,
anthropic/claude-fable-5,continuous|120,,,0.5341,0.4733,,,60,0.5987,,
anthropic/claude-fable-5,continuous|150,,,0.5279,0.4822,,,60,0.6327,,
anthropic/claude-fable-5,continuous|180,,,0.5436,0.5407,,,60,0.7321,,
anthropic/claude-fable-5,continuous|210,,,0.5776,0.5613,,,60,0.776,,
anthropic/claude-fable-5,continuous|all,,,0.5725,0.4543,,,300,0.6046,,
anthropic/claude-fable-5,natcond|120,,,,0.1227,-0.0185,0.1907,100,,0.1042,0.1029
anthropic/claude-fable-5,natcond|150,,,,0.1224,-0.0239,0.1759,100,,0.0985,0.067
anthropic/claude-fable-5,natcond|180,,,,0.1275,-0.022,0.1869,100,,0.1055,0.0879
anthropic/claude-fable-5,natcond|210,,,,0.0826,0.0039,0.0913,100,,0.0865,0.0364
anthropic/claude-fable-5,natcond|all,,,,0.1138,-0.0151,0.1612,400,,0.0987,0.0735
anthropic/claude-opus-5,bank|90,-0.2685,0.7304,,0.1634,,,150,,,
anthropic/claude-opus-5,bank|120,-0.259,0.8053,,0.1752,,,150,,,
anthropic/claude-opus-5,bank|150,-0.2222,0.7221,,0.1628,,,150,,,
anthropic/claude-opus-5,bank|180,-0.1789,0.584,,0.1408,,,150,,,
anthropic/claude-opus-5,bank|210,-0.2089,0.5987,,0.1436,,,150,,,
anthropic/claude-opus-5,bank|all,-0.2275,0.6881,,0.1571,,,750,,,
anthropic/claude-opus-5,tails|90,0.1239,0.2286,,0.0521,,,60,,,
anthropic/claude-opus-5,tails|120,0.1469,0.2796,,0.0637,,,60,,,
anthropic/claude-opus-5,tails|150,0.1446,0.22,,0.0482,,,60,,,
anthropic/claude-opus-5,tails|180,0.1363,0.2042,,0.0411,,,60,,,
anthropic/claude-opus-5,tails|210,0.2252,0.3969,,0.0925,,,60,,,
anthropic/claude-opus-5,tails|all,0.1554,0.2659,,0.0595,,,300,,,
anthropic/claude-opus-5,mirrors|90,-0.6268,1.892,,0.4842,,,10,,,
