model,block,horizon,excess,gain,move,n,stay,target
anthropic/claude-fable-5,A,120,0.1378,0.0323,0.0256,9,0.1701,0.0167
anthropic/claude-fable-5,A,150,0.2265,-0.0065,0.0344,9,0.2201,0.0039
anthropic/claude-fable-5,A,180,0.1102,-0.0031,0.03,9,0.107,0.0103
anthropic/claude-fable-5,A,210,0.0621,0.0038,0.0211,9,0.0659,0.0042
anthropic/claude-fable-5,A,all,0.1342,0.0066,0.0278,36,0.1408,0.0088
anthropic/claude-fable-5,B,120,0.083,0.0296,0.0633,9,0.1126,0.0157
anthropic/claude-fable-5,B,150,0.1214,-0.0094,0.0322,9,0.112,0.0071
anthropic/claude-fable-5,B,180,0.2175,0.0141,0.03,9,0.2316,0.0241
anthropic/claude-fable-5,B,210,0.0547,0.0003,0.0289,9,0.055,0.0022
anthropic/claude-fable-5,B,all,0.1192,0.0086,0.0386,36,0.1278,0.0123
anthropic/claude-fable-5,C1,120,0.1574,-0.1026,0.2987,15,0.0548,0.1968
anthropic/claude-fable-5,C1,150,0.1649,-0.1022,0.2523,15,0.0627,0.1057
anthropic/claude-fable-5,C1,180,0.1179,-0.0588,0.2933,15,0.0592,0.1144
anthropic/claude-fable-5,C1,210,0.1213,-0.0111,0.2391,11,0.1102,0.0624
anthropic/claude-fable-5,C1,all,0.1418,-0.0728,0.2731,56,0.069,0.1239
anthropic/claude-fable-5,C2,120,0.1121,-0.01,0.29,42,0.1021,0.1294
anthropic/claude-fable-5,C2,150,0.0882,-0.0396,0.2805,42,0.0486,0.0883
anthropic/claude-fable-5,C2,180,0.0967,-0.0415,0.279,42,0.0552,0.102
anthropic/claude-fable-5,C2,210,0.0462,0.0001,0.1076,46,0.0463,0.0328
anthropic/claude-fable-5,C2,all,0.0849,-0.0222,0.2362,172,0.0627,0.0869
anthropic/claude-fable-5,D,120,0.1286,-0.0181,0.0644,25,0.1106,0.0645
anthropic/claude-fable-5,D,150,0.1172,0.0378,0.0568,25,0.155,0.0523
anthropic/claude-fable-5,D,180,0.1586,0.0131,0.0812,25,0.1717,0.0991
anthropic/claude-fable-5,D,210,0.1501,0.0188,0.044,25,0.1688,0.0553
anthropic/claude-fable-5,D,all,0.1386,0.0129,0.0616,100,0.1515,0.0678
anthropic/claude-opus-5,A,120,0.1244,0.0414,0.04,9,0.1657,0.0167
anthropic/claude-opus-5,A,150,0.267,0.0147,0.05,9,0.2817,0.0039
anthropic/claude-opus-5,A,180,0.1267,0.0016,0.0289,9,0.1283,0.0103
anthropic/claude-opus-5,A,210,0.1064,0.0043,0.0256,9,0.1107,0.0042
anthropic/claude-opus-5,A,all,0.1561,0.0155,0.0361,36,0.1716,0.0088
anthropic/claude-opus-5,B,120,0.0675,0.0189,0.0778,9,0.0864,0.0157
anthropic/claude-opus-5,B,150,0.1225,0.0028,0.0367,9,0.1253,0.0071
