model,question_type,horizon,nforecasts,nvalid,brier,expected_brier,calibration,excess_bits
anthropic/claude-fable-5,regular,T90,150,150,0.3309706666666667,0.3309706666666667,0.15714709333333332,0.7537634330389112
anthropic/claude-fable-5,regular,T120,150,150,0.33908973333333337,0.33908973333333337,0.1632135666666667,0.7398420338466412
anthropic/claude-fable-5,regular,T150,150,150,0.31502280000000005,0.31502280000000005,0.14104898000000002,0.6039392256066549
anthropic/claude-fable-5,regular,T180,150,150,0.3012310666666666,0.3012310666666666,0.12413612,0.4905895570939173
anthropic/claude-fable-5,regular,T210,150,150,0.29135266666666665,0.29135266666666665,0.11630242,0.45255251422370624
anthropic/claude-fable-5,regular,all,750,750,0.3155333866666667,0.3155333866666667,0.140369636,0.6081373527619661
anthropic/claude-fable-5,tail,T90,60,60,0.058901999999999996,0.058901999999999996,0.04376429999999999,0.19019586212372327
anthropic/claude-fable-5,tail,T120,60,60,0.07426999999999999,0.07426999999999999,0.05516361666666667,0.24872794525426575
anthropic/claude-fable-5,tail,T150,60,60,0.07240500000000001,0.07240500000000001,0.052122800000000004,0.24006599303608678
anthropic/claude-fable-5,tail,T180,60,60,0.080084,0.080084,0.06068590000000001,0.26595808511153946
anthropic/claude-fable-5,tail,T210,60,60,0.13400166666666666,0.13400166666666666,0.11532968333333334,0.49729572911094244
anthropic/claude-fable-5,tail,all,300,300,0.08393253333333332,0.08393253333333332,0.06541325999999999,0.2884487229273116
anthropic/claude-fable-5,mirror,T90,10,10,0.459318,0.459318,0.438894,1.717823025403996
anthropic/claude-fable-5,mirror,T120,10,10,0.34530599999999995,0.34530599999999995,0.33452109999999996,1.39342432335363
anthropic/claude-fable-5,mirror,T150,10,10,0.38741000000000003,0.38741000000000003,0.37016899999999997,1.4525926295543392
anthropic/claude-fable-5,mirror,T180,10,10,0.36065200000000003,0.36065200000000003,0.33797869999999997,1.4440161301137209
anthropic/claude-fable-5,mirror,T210,10,10,0.292222,0.292222,0.2786946,1.1025598681634086
anthropic/claude-fable-5,mirror,all,50,50,0.36898159999999997,0.36898159999999997,0.35205148,1.422083195317819
anthropic/claude-opus-5,regular,T90,150,150,0.3371901333333333,0.3371901333333333,0.16336656,0.7303790101485117
anthropic/claude-opus-5,regular,T120,150,150,0.35104533333333343,0.35104533333333343,0.17516916666666668,0.805251228632599
anthropic/claude-opus-5,regular,T150,150,150,0.3367498666666666,0.3367498666666666,0.16277604666666667,0.7220731388957149
anthropic/claude-opus-5,regular,T180,150,150,0.31793973333333336,0.31793973333333336,0.14084478666666667,0.5840338231331119
anthropic/claude-opus-5,regular,T210,150,150,0.31861866666666666,0.31861866666666666,0.14356842000000003,0.5986600928880693
anthropic/claude-opus-5,regular,all,750,750,0.33230874666666665,0.33230874666666665,0.157144996,0.6880794587396014
anthropic/claude-opus-5,tail,T90,60,60,0.06725433333333332,0.06725433333333332,0.05211663333333334,0.22858334331402735
anthropic/claude-opus-5,tail,T120,60,60,0.08285600000000001,0.08285600000000001,0.06374961666666666,0.2796332725502165
anthropic/claude-opus-5,tail,T150,60,60,0.06848166666666668,0.06848166666666668,0.048199466666666656,0.2199885469561126
anthropic/claude-opus-5,tail,T180,60,60,0.060451000000000005,0.060451000000000005,0.04105290000000002,0.20420929096569038
anthropic/claude-opus-5,tail,T210,60,60,0.11118066666666666,0.11118066666666666,0.09250868333333333,0.3969109602299892
anthropic/claude-opus-5,tail,all,300,300,0.07804473333333334,0.07804473333333334,0.05952546,0.26586508280320725
anthropic/claude-opus-5,mirror,T90,10,10,0.5045799999999999,0.5045799999999999,0.4841559999999999,1.8919693942125015
anthropic/claude-opus-5,mirror,T120,10,10,0.49252599999999996,0.49252599999999996,0.4817410999999999,1.8951185679003413
anthropic/claude-opus-5,mirror,T150,10,10,0.46392799999999995,0.46392799999999995,0.44668699999999995,1.7802695423426542
anthropic/claude-opus-5,mirror,T180,10,10,0.425388,0.425388,0.4027146999999999,1.6675386526453022
anthropic/claude-opus-5,mirror,T210,10,10,0.350696,0.350696,0.3371686,1.2947228362114696
anthropic/claude-opus-5,mirror,all,50,50,0.4474236,0.4474236,0.43049348000000004,1.7059237986624538
openai/gpt-5.6-sol,regular,T90,150,150,0.2828877016666667,0.2828877016666667,0.10906412833333332,0.4660589533478161
openai/gpt-5.6-sol,regular,T120,150,150,0.27124191999999997,0.27124191999999997,0.09536575333333333,0.3767134961997639
openai/gpt-5.6-sol,regular,T150,150,150,0.2830046066666666,0.2830046066666666,0.10903078666666666,0.44345809103222433
openai/gpt-5.6-sol,regular,T180,150,150,0.29179999999999995,0.29179999999999995,0.11470505333333333,0.4710015774527297
openai/gpt-5.6-sol,regular,T210,150,150,0.29120050000000003,0.29120050000000003,0.11615025333333333,0.4408595125663723
openai/gpt-5.6-sol,regular,all,750,750,0.28402694566666664,0.28402694566666664,0.108863195,0.4396183261197813
openai/gpt-5.6-sol,tail,T90,60,60,0.09284696666666668,0.09284696666666668,0.07770926666666668,0.3634161285260608
openai/gpt-5.6-sol,tail,T120,60,60,0.12749344999999998,0.12749344999999998,0.10838706666666664,0.4797380432584914
openai/gpt-5.6-sol,tail,T150,60,60,0.15883665416666665,0.15883665416666665,0.13855445416666665,0.5422751439867477
openai/gpt-5.6-sol,tail,T180,60,60,0.18853956666666666,0.18853956666666666,0.16914146666666666,0.692345553747234
openai/gpt-5.6-sol,tail,T210,60,60,0.27996488333333336,0.27996488333333336,0.2612929,1.0396821877911446
openai/gpt-5.6-sol,tail,all,300,300,0.16953630416666665,0.16953630416666665,0.15101703083333334,0.6234914114619358
openai/gpt-5.6-sol,mirror,T90,10,10,0.29705400000000004,0.29705400000000004,0.27663,1.0349618481156995
openai/gpt-5.6-sol,mirror,T120,10,10,0.156432,0.156432,0.14564709999999997,0.6241979459187397
openai/gpt-5.6-sol,mirror,T150,10,10,0.105178,0.105178,0.087937,0.40101926514169817
openai/gpt-5.6-sol,mirror,T180,10,10,0.20206949999999999,0.20206949999999999,0.17939619999999998,0.6989025364463138
openai/gpt-5.6-sol,mirror,T210,10,10,0.22309040000000002,0.22309040000000002,0.20956299999999994,0.7720951684814468
openai/gpt-5.6-sol,mirror,all,50,50,0.19676477999999997,0.19676477999999997,0.17983466,0.7062353528207796
openai/gpt-5.5,regular,T90,150,150,0.2983889666666667,0.2983889666666667,0.12456539333333332,0.4791204952118689
openai/gpt-5.5,regular,T120,150,150,0.279202,0.279202,0.10332583333333333,0.37076597167139275
openai/gpt-5.5,regular,T150,150,150,0.28268670000000007,0.28268670000000007,0.10871288,0.39942211426088836
openai/gpt-5.5,regular,T180,150,150,0.28812269999999995,0.28812269999999995,0.11102775333333334,0.40800687887965353
openai/gpt-5.5,regular,T210,150,150,0.27569914,0.27569914,0.10064889333333332,0.345853748352518
openai/gpt-5.5,regular,all,750,750,0.28481990133333335,0.28481990133333335,0.10965615066666667,0.40063384167526433
openai/gpt-5.5,tail,T90,60,60,0.06870691666666669,0.06870691666666669,0.053569216666666676,0.26302111330515693
openai/gpt-5.5,tail,T120,60,60,0.10115266666666667,0.10115266666666667,0.08204628333333333,0.3614230545315691
openai/gpt-5.5,tail,T150,60,60,0.11801999999999999,0.11801999999999999,0.0977378,0.4138722135397541
openai/gpt-5.5,tail,T180,60,60,0.12942208333333333,0.12942208333333333,0.11002398333333334,0.4652429855471081
openai/gpt-5.5,tail,T210,60,60,0.196702,0.196702,0.1780300166666667,0.6949504196389377
openai/gpt-5.5,tail,all,300,300,0.12280073333333334,0.12280073333333334,0.10428145999999998,0.43970195731250517
openai/gpt-5.5,mirror,T90,10,10,0.382588,0.382588,0.36216400000000004,1.3358162560024294
openai/gpt-5.5,mirror,T120,10,10,0.23729,0.23729,0.22650509999999996,0.8893672362563974
openai/gpt-5.5,mirror,T150,10,10,0.26086200000000004,0.26086200000000004,0.243621,0.9077548384277534
openai/gpt-5.5,mirror,T180,10,10,0.306416,0.306416,0.28374269999999996,1.0348677911742175
openai/gpt-5.5,mirror,T210,10,10,0.250842,0.250842,0.23731460000000001,0.9270633461775217
openai/gpt-5.5,mirror,all,50,50,0.2875996,0.2875996,0.27066947999999996,1.0189738936076638
google/gemini-3.7-flash,regular,T90,150,150,0.27960559999999995,0.27960559999999995,0.10578202666666667,0.43155750303370655
google/gemini-3.7-flash,regular,T120,150,150,0.3007666666666667,0.3007666666666667,0.12489050000000002,0.49433831927062954
google/gemini-3.7-flash,regular,T150,150,150,0.2898643,0.2898643,0.11589048,0.4535879805673554
google/gemini-3.7-flash,regular,T180,150,150,0.29547779999999996,0.29547779999999996,0.11838285333333334,0.4793133461397726
google/gemini-3.7-flash,regular,T210,150,150,0.28825696666666667,0.28825696666666667,0.11320672000000002,0.4280942147719121
google/gemini-3.7-flash,regular,all,750,750,0.29079426666666663,0.29079426666666663,0.11563051599999997,0.45737827275667525
google/gemini-3.7-flash,tail,T90,60,60,0.10628766666666666,0.10628766666666666,0.09114996666666664,0.38629037453928117
