model,metric,horizon,nforecasts,nvalid,CRPS,nCRPS_global,excess_nCRPS_global,excess_CRPS_over_IQR
anthropic/claude-fable-5,NC14_world_wonders,T90,6,6,0.5240999999999999,0.13102499999999997,0.05473333333333336,0.21893333333333345
anthropic/claude-fable-5,NC14_world_wonders,T120,6,6,0.8587666666666669,0.21469166666666673,0.10663333333333348,0.4139000000000006
anthropic/claude-fable-5,NC14_world_wonders,T150,6,6,1.485166666666666,0.3712916666666665,0.2144999999999999,0.6143444444444441
anthropic/claude-fable-5,NC14_world_wonders,T180,7,7,1.7480285714285715,0.43700714285714287,0.20874285714285712,0.3893809523809523
anthropic/claude-fable-5,NC14_world_wonders,T210,6,6,2.1920000000000006,0.5480000000000002,0.2579833333333334,0.43931111111111126
anthropic/claude-fable-5,NC14_world_wonders,all,31,31,1.3740774193548388,0.3435193548387097,0.1698161290322581,0.4143419354838712
anthropic/claude-fable-5,NC1_value_at_T,T90,12,12,12.92341666666667,0.1411829761904762,0.08102034920634922,0.5398944788751016
anthropic/claude-fable-5,NC1_value_at_T,T120,12,12,24.640950000000004,0.2564241349206349,0.14228209523809526,0.525059674937035
anthropic/claude-fable-5,NC1_value_at_T,T150,12,12,32.13121666666667,0.3321219920634921,0.18246355555555552,0.5369361956624833
anthropic/claude-fable-5,NC1_value_at_T,T180,12,12,30.674716666666672,0.3381878333333333,0.15824126984126985,0.40974368491421
anthropic/claude-fable-5,NC1_value_at_T,T210,12,12,49.74036666666667,0.43075188095238093,0.21251576190476193,0.38486861787216514
anthropic/claude-fable-5,NC1_value_at_T,all,60,60,30.022133333333333,0.2997337634920635,0.15530460634920637,0.47930053045219895
anthropic/claude-fable-5,NC5_world_captures,T90,6,6,3.142633333333334,0.06285266666666668,0.021510666666666668,0.1986433333333333
anthropic/claude-fable-5,NC5_world_captures,T120,6,6,19.245933333333333,0.3849186666666667,0.2878973333333334,1.1327090023882476
anthropic/claude-fable-5,NC5_world_captures,T150,7,7,37.47242857142857,0.7494485714285714,0.6021245714285712,1.4837766719075118
anthropic/claude-fable-5,NC5_world_captures,T180,6,6,49.255966666666666,0.9851193333333333,0.813524,1.7323817631538312
anthropic/claude-fable-5,NC5_world_captures,T210,7,7,63.13520000000001,1.262704,1.0507062857142861,1.7205508964847798
anthropic/claude-fable-5,NC5_world_captures,all,32,32,35.44126874999999,0.7088253750000001,0.5721065000000001,1.2753967991249535
