model,eci,fb_overall,question_type,group,horizon,n_items,n_valid,excess_brier,brier,recov,excess_bits,ncrps_global,excess_ncrps_global,crps,excess_t2,stay,gain,excess_nonews
anthropic/claude-fable-5,162.49,,bank,EX_comparative,90,9,9,0.0339111111111111,0.18942,0.6411185061499025,0.16383768993143713,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,120,11,11,0.11352618181818182,0.2819672727272727,-0.3919531671474492,0.5140521536117029,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,150,10,10,0.030294600000000005,0.22561,0.4460122228195872,0.12066993715910765,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,180,12,12,0.038076250000000006,0.23543,0.2767528551416293,0.12396021810223358,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,210,11,11,0.03907100000000001,0.22732363636363637,0.3672442400926943,0.12276235962129328,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,all,53,53,0.0517666037735849,0.2337403773584906,0.23901991185419624,0.21082492158044847,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,90,7,7,0.07664157142857143,0.2722914285714286,-0.4101448018273053,0.3343186513933514,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,120,10,10,0.2101175,0.40339400000000003,-2.7042407467804352,1.0709679226361974,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,150,9,9,0.2971014444444444,0.4715355555555555,-2.9316872839449903,1.6985915172553996,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,180,10,10,0.2442605,0.42179400000000006,-2.370667825822967,1.2872371444154802,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,210,10,10,0.24128890000000003,0.41930200000000006,-2.351844571720688,1.1360829817064728,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,all,46,46,0.22102332608695652,0.4042339130434783,-2.309256901884671,1.142835537013773,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,90,10,10,0.10440390000000002,0.272254,-0.27089503456486264,0.39084601961373167,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,120,9,9,0.15287944444444446,0.32697333333333334,-1.0140597668171938,0.7711373169503621,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,150,10,10,0.1166874,0.28590400000000005,-0.44444774545265475,0.42567458921899926,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,180,10,10,0.0830813,0.255042,-0.06460847291044369,0.28124097478063714,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,210,11,11,0.13019481818181816,0.31587818181818184,-1.024279028612701,0.5165431967845531,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_tech_discovered,all,50,50,0.11699568,0.2909884,-0.5392693962999335,0.4719965370663404,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,90,8,8,0.292200375,0.46490750000000003,-2.780430925877709,1.9086903938839117,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,120,9,9,0.2954486666666666,0.48548222222222215,-3.926899858809927,1.825547400582121,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,150,11,11,0.21506154545454548,0.3978745454545454,-2.2009398463176724,1.1173609989082183,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,180,10,10,0.17966220000000002,0.362428,-1.672184691719393,0.7295976498085804,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,210,10,10,0.10817570000000001,0.282574,-0.43086332714740516,0.3850971553453002,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_threshold,all,48,48,0.21334785416666668,0.39406749999999996,-2.0794856165633777,1.148695183246658,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_value_threshold,90,10,10,0.11355670000000002,0.271574,-0.23454410448921403,0.4832001725574367,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_value_threshold,120,9,9,0.14292022222222223,0.28522222222222227,-0.32704620533549567,0.5405411447630336,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_value_threshold,150,11,11,0.09403490909090907,0.24897454545454545,0.010787403984453992,0.3069885632847527,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_value_threshold,180,11,11,0.11656454545454546,0.27718000000000004,-0.3040794117347927,0.386407752605273,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_value_threshold,210,10,10,0.0460718,0.186578,0.5792291435679463,0.1537420068219367,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB1_value_threshold,all,51,51,0.10194433333333333,0.2536513725490196,-0.03714785392447251,0.3698363053225748,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB4_drawdown,90,4,4,0.0948115,0.298435,-1.0443867044731712,0.3736504011711168,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB4_drawdown,120,7,7,0.09405585714285714,0.29632857142857144,-0.9706936134167039,0.31635209709843704,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB4_drawdown,150,11,11,0.08995990909090908,0.27193636363636364,-0.3224819213667991,0.3233008284013851,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB4_drawdown,180,11,11,0.04571763636363637,0.23331090909090912,0.2674245492181786,0.163612256760707,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB4_drawdown,210,11,11,0.022019909090909093,0.20271454545454545,0.6822769849900113,0.08120928741528986,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB4_drawdown,all,44,44,0.06300702272727272,0.2512640909090909,-0.020473451322547298,0.2263275541528347,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB6_event,90,5,5,0.0672952,0.24570799999999998,0.05995485226409181,0.36709487884464426,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB6_event,120,2,2,0.595781,0.71482,-3.549300936920151,2.532605068745961,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NB6_event,all,7,7,0.21829114285714285,0.37973999999999997,-1.4651420163973037,0.9858120759593062,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NEW_civil_war,120,2,2,0.0006565000000000001,0.05307,0.9966774045797663,0.013042819773396858,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NEW_civil_war,150,4,4,0.02268275,0.15879,0.8008411422149346,0.23510865199180528,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NEW_civil_war,180,5,5,0.06668299999999999,0.256836,-0.11422460607883411,0.5368290999158333,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NEW_civil_war,210,6,6,0.07529716666666668,0.26970999999999995,-0.35457824497860746,0.5610385243949346,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NEW_civil_war,all,17,17,0.05160247058823529,0.21433764705882355,0.4086681379600432,0.41275864079192875,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW1_war_at,90,7,7,0.12477500000000001,0.29876857142857144,-0.6416374554783899,0.4140317614791996,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW1_war_at,120,10,10,0.1686168,0.351444,-1.5101946025772337,0.6779935057426123,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW1_war_at,150,10,10,0.1039092,0.27939200000000003,-0.39443242633915365,0.3657403266911229,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW1_war_at,180,11,11,0.1913914545454545,0.35568181818181815,-1.2330214275259168,0.6961889148270879,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW1_war_at,210,11,11,0.16814772727272728,0.3375127272727273,-1.0852945652970458,0.5989940789261584,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW1_war_at,all,49,49,0.15415542857142858,0.32703836734693875,-0.9989795529510397,0.5629096650199481,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW2_diplo,90,8,8,0.166644,0.331945,-0.967484858144724,0.7261030469857851,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW2_diplo,120,8,8,0.090549125,0.2700825,-0.2849930729618453,0.4878780193233422,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW2_diplo,150,8,8,0.14474300000000004,0.3291675,-1.2072725331869374,0.7388291481138055,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW2_diplo,180,11,11,0.1150081818181818,0.30083454545454547,-0.792140641158221,0.46987457558051754,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW2_diplo,210,9,9,0.18878977777777778,0.34811777777777775,-1.0821177185655744,0.7972188473676505,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW2_diplo,all,44,44,0.14044743181818184,0.31572272727272727,-0.8795314437509565,0.6355925380245003,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW5_wonder,90,6,6,0.17506266666666667,0.33113666666666663,-0.8638360695299137,0.8830039758177898,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW5_wonder,120,7,7,0.045636571428571415,0.2233914285714286,0.3683094859565451,0.14961300645734246,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW5_wonder,150,5,5,0.0661368,0.22536,0.27143499220065026,0.25944226837223844,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW5_wonder,180,8,8,0.12135212499999998,0.3040975,-0.8043684728001974,0.4431524548312452,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW5_wonder,210,8,8,0.049433875,0.2410475,0.15333200596885843,0.19576664881515896,,,,,,,
anthropic/claude-fable-5,162.49,,bank,NW5_wonder,all,34,34,0.09020011764705882,0.2658388235294118,-0.21299822330086338,0.3751140903276636,,,,,,,
anthropic/claude-fable-5,162.49,,bank,S3_wars_at_T,90,3,3,0.29915066666666673,0.4711,-2.832775291263795,1.162624333488738,,,,,,,
anthropic/claude-fable-5,162.49,,bank,S3_wars_at_T,all,3,3,0.29915066666666673,0.4711,-2.832775291263795,1.162624333488738,,,,,,,
