name,id,reasoning,in_M,out_M,in_price,out_price,cost,cost_hi
Meta: Llama 4 Scout,meta-llama/llama-4-scout,none,16.453249,1.4161,0.1,0.3,2.0701549,2.4949849
DeepSeek: DeepSeek V3,deepseek/deepseek-chat,none,16.453249,1.4161,0.32,0.89,6.52536868,7.78569768
OpenAI: GPT-4.1,openai/gpt-4.1,none,16.453249,1.4161,2.0,8.0,44.235298,55.564098
Qwen: Qwen3 235B A22B,qwen/qwen3-235b-a22b,low,16.453249,3.4391,0.455,1.82,13.745390295,20.004552295
Google: Gemini 2.5 Flash,google/gemini-2.5-flash,low,16.453249,3.4391,0.3,2.5,13.5337247,22.1314747
MoonshotAI: Kimi K2,moonshotai/kimi-k2,none,16.453249,1.4161,0.57,2.3,12.635381929999998,15.892411929999998
OpenAI: GPT-5 Nano,openai/gpt-5-nano,low,16.453249,3.4391,0.05,0.4,2.19830245,3.57394245
Anthropic: Claude Haiku 4.5,anthropic/claude-haiku-4.5,low,16.453249,3.4391,1.0,5.0,33.648748999999995,50.844249
Qwen: Qwen3.5-Flash,qwen/qwen3.5-flash-02-23,low,16.453249,3.4391,0.065,0.26,1.963627185,2.8577931850000002
Google: Gemini 3.1 Flash Lite Preview,google/gemini-3.1-flash-lite-preview,low,16.453249,3.4391,0.25,1.5,9.27196225,14.43061225
OpenAI: GPT-5 Mini,openai/gpt-5-mini,low,16.453249,3.4391,0.25,2.0,10.99151225,17.86971225
OpenAI: o4 Mini,openai/o4-mini,low,16.453249,3.4391,1.1,4.4,33.2306139,48.3626539
OpenAI: GPT-5.4 Nano,openai/gpt-5.4-nano,low,16.453249,3.4391,0.2,1.25,7.5895247999999995,11.8883998
OpenAI: o3,openai/o3,low,16.453249,3.4391,2.0,8.0,60.419298,87.932098
OpenAI: GPT-5,openai/gpt-5,low,16.453249,3.4391,1.25,10.0,54.95756125,89.34856124999999
Google: Gemini 3 Flash Preview,google/gemini-3-flash-preview,low,16.453249,3.4391,0.5,3.0,18.5439245,28.8612245
DeepSeek: DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,low,16.453249,3.4391,0.44,1.32,11.77904156,16.31865356
Anthropic: Claude Sonnet 5,anthropic/claude-sonnet-5,low,16.453249,3.4391,2.0,10.0,67.29749799999999,101.688498
OpenAI: GPT-5.6 Luna,openai/gpt-5.6-luna,low,16.453249,3.4391,0.2,1.2,7.417569799999999,11.5444898
Google: Gemini 3.7 Flash,google/gemini-3.7-flash,low,16.453249,3.4391,0.75,3.75,25.23656175,38.13318675
OpenAI: GPT-5.5,openai/gpt-5.5,low,16.453249,3.4391,5.0,30.0,185.439245,288.61224500000003
OpenAI: GPT-5.6 Sol,openai/gpt-5.6-sol,low,16.453249,3.4391,2.0,10.0,67.29749799999999,101.688498
Claude Opus 5,anthropic/claude-opus-5,low,16.453249,3.4391,5.0,25.0,168.243745,254.22124499999998
Anthropic: Claude Fable,anthropic/claude-fable-5,low,16.453249,3.4391,10.0,50.0,336.48749,508.44248999999996
