model,band,n,q,p
anthropic/claude-fable-5,0,96,0.0863,0.1857
anthropic/claude-fable-5,1,54,0.1849,0.1419
anthropic/claude-fable-5,2,83,0.2713,0.1887
anthropic/claude-fable-5,3,67,0.3645,0.1901
anthropic/claude-fable-5,4,67,0.452,0.2063
anthropic/claude-fable-5,5,83,0.54,0.2402
anthropic/claude-fable-5,6,60,0.6255,0.285
anthropic/claude-fable-5,7,90,0.7356,0.2621
anthropic/claude-fable-5,8,48,0.8099,0.3333
anthropic/claude-fable-5,9,102,0.9132,0.3163
anthropic/claude-haiku-4.5,0,96,0.0863,0.3375
anthropic/claude-haiku-4.5,1,54,0.1849,0.3006
anthropic/claude-haiku-4.5,2,83,0.2713,0.3477
anthropic/claude-haiku-4.5,3,67,0.3645,0.3373
anthropic/claude-haiku-4.5,4,67,0.452,0.3279
anthropic/claude-haiku-4.5,5,83,0.54,0.366
anthropic/claude-haiku-4.5,6,60,0.6255,0.4012
anthropic/claude-haiku-4.5,7,90,0.7356,0.3878
anthropic/claude-haiku-4.5,8,48,0.8099,0.3998
anthropic/claude-haiku-4.5,9,102,0.9132,0.4015
anthropic/claude-opus-5,0,96,0.0863,0.2003
anthropic/claude-opus-5,1,54,0.1849,0.1596
anthropic/claude-opus-5,2,83,0.2713,0.2141
anthropic/claude-opus-5,3,67,0.3645,0.2016
anthropic/claude-opus-5,4,67,0.452,0.2409
anthropic/claude-opus-5,5,83,0.54,0.2561
anthropic/claude-opus-5,6,60,0.6255,0.3105
anthropic/claude-opus-5,7,90,0.7356,0.2792
anthropic/claude-opus-5,8,48,0.8099,0.3721
anthropic/claude-opus-5,9,102,0.9132,0.3328
anthropic/claude-sonnet-5,0,96,0.0863,0.1702
anthropic/claude-sonnet-5,1,54,0.1849,0.1387
anthropic/claude-sonnet-5,2,83,0.2713,0.1584
anthropic/claude-sonnet-5,3,67,0.3645,0.1737
anthropic/claude-sonnet-5,4,67,0.452,0.1946
anthropic/claude-sonnet-5,5,83,0.54,0.2043
anthropic/claude-sonnet-5,6,60,0.6255,0.2395
anthropic/claude-sonnet-5,7,90,0.7356,0.2098
anthropic/claude-sonnet-5,8,48,0.8099,0.2588
anthropic/claude-sonnet-5,9,102,0.9132,0.2566
deepseek/deepseek-chat,0,96,0.0863,0.2904
deepseek/deepseek-chat,1,54,0.1849,0.257
deepseek/deepseek-chat,2,83,0.2713,0.3339
deepseek/deepseek-chat,3,67,0.3645,0.2679
deepseek/deepseek-chat,4,67,0.452,0.3191
deepseek/deepseek-chat,5,83,0.54,0.371
deepseek/deepseek-chat,6,60,0.6255,0.3818
deepseek/deepseek-chat,7,90,0.7356,0.3883
deepseek/deepseek-chat,8,48,0.8099,0.4323
deepseek/deepseek-chat,9,102,0.9132,0.3806
deepseek/deepseek-v4-flash-0731,0,96,0.0863,0.1996
deepseek/deepseek-v4-flash-0731,1,54,0.1849,0.1392
deepseek/deepseek-v4-flash-0731,2,83,0.2713,0.2188
deepseek/deepseek-v4-flash-0731,3,67,0.3645,0.231
deepseek/deepseek-v4-flash-0731,4,67,0.452,0.2057
deepseek/deepseek-v4-flash-0731,5,83,0.54,0.2651
deepseek/deepseek-v4-flash-0731,6,60,0.6255,0.2977
deepseek/deepseek-v4-flash-0731,7,90,0.7356,0.2873
deepseek/deepseek-v4-flash-0731,8,48,0.8099,0.3104
deepseek/deepseek-v4-flash-0731,9,102,0.9132,0.3505
google/gemini-2.5-flash,0,96,0.0863,0.2965
google/gemini-2.5-flash,1,54,0.1849,0.2711
google/gemini-2.5-flash,2,83,0.2713,0.3189
google/gemini-2.5-flash,3,67,0.3645,0.3145
google/gemini-2.5-flash,4,67,0.452,0.321
google/gemini-2.5-flash,5,83,0.54,0.3586
google/gemini-2.5-flash,6,60,0.6255,0.3677
google/gemini-2.5-flash,7,90,0.7356,0.3939
google/gemini-2.5-flash,8,48,0.8099,0.4925
google/gemini-2.5-flash,9,102,0.9132,0.4201
google/gemini-3-flash-preview,0,96,0.0863,0.338
google/gemini-3-flash-preview,1,54,0.1849,0.3015
google/gemini-3-flash-preview,2,83,0.2713,0.3578
google/gemini-3-flash-preview,3,67,0.3645,0.394
google/gemini-3-flash-preview,4,67,0.452,0.3615
google/gemini-3-flash-preview,5,83,0.54,0.4219
google/gemini-3-flash-preview,6,60,0.6255,0.4572
google/gemini-3-flash-preview,7,90,0.7356,0.468
google/gemini-3-flash-preview,8,48,0.8099,0.4656
google/gemini-3-flash-preview,9,102,0.9132,0.4941
google/gemini-3.1-flash-lite-preview,0,96,0.0863,0.2825
google/gemini-3.1-flash-lite-preview,1,54,0.1849,0.2546
google/gemini-3.1-flash-lite-preview,2,83,0.2713,0.2849
google/gemini-3.1-flash-lite-preview,3,67,0.3645,0.309
google/gemini-3.1-flash-lite-preview,4,67,0.452,0.2978
google/gemini-3.1-flash-lite-preview,5,83,0.54,0.3398
google/gemini-3.1-flash-lite-preview,6,60,0.6255,0.3358
google/gemini-3.1-flash-lite-preview,7,90,0.7356,0.33
google/gemini-3.1-flash-lite-preview,8,48,0.8099,0.3365
google/gemini-3.1-flash-lite-preview,9,102,0.9132,0.3583
google/gemini-3.7-flash,0,96,0.0863,0.3126
google/gemini-3.7-flash,1,54,0.1849,0.2654
google/gemini-3.7-flash,2,83,0.2713,0.3348
google/gemini-3.7-flash,3,67,0.3645,0.3682
google/gemini-3.7-flash,4,67,0.452,0.3457
google/gemini-3.7-flash,5,83,0.54,0.411
google/gemini-3.7-flash,6,60,0.6255,0.422
google/gemini-3.7-flash,7,90,0.7356,0.4352
google/gemini-3.7-flash,8,48,0.8099,0.49
google/gemini-3.7-flash,9,102,0.9132,0.4644
meta-llama/llama-4-scout,0,96,0.0863,0.2267
meta-llama/llama-4-scout,1,54,0.1849,0.1787
meta-llama/llama-4-scout,2,83,0.2713,0.2289
meta-llama/llama-4-scout,3,67,0.3645,0.209
meta-llama/llama-4-scout,4,67,0.452,0.2337
meta-llama/llama-4-scout,5,83,0.54,0.2651
meta-llama/llama-4-scout,6,60,0.6255,0.1902
meta-llama/llama-4-scout,7,90,0.7356,0.2794
meta-llama/llama-4-scout,8,48,0.8099,0.2431
meta-llama/llama-4-scout,9,102,0.9132,0.2917
moonshotai/kimi-k2,0,96,0.0863,0.2862
moonshotai/kimi-k2,1,54,0.1849,0.287
moonshotai/kimi-k2,2,83,0.2713,0.3171
moonshotai/kimi-k2,3,67,0.3645,0.3468
moonshotai/kimi-k2,4,67,0.452,0.3422
moonshotai/kimi-k2,5,83,0.54,0.3835
moonshotai/kimi-k2,6,60,0.6255,0.39
moonshotai/kimi-k2,7,90,0.7356,0.3704
moonshotai/kimi-k2,8,48,0.8099,0.4371
moonshotai/kimi-k2,9,102,0.9132,0.4126
openai/gpt-4.1,0,96,0.0863,0.2935
openai/gpt-4.1,1,54,0.1849,0.2206
openai/gpt-4.1,2,83,0.2713,0.2722
openai/gpt-4.1,3,67,0.3645,0.3397
openai/gpt-4.1,4,67,0.452,0.3225
openai/gpt-4.1,5,83,0.54,0.3849
openai/gpt-4.1,6,60,0.6255,0.3842
openai/gpt-4.1,7,90,0.7356,0.3879
openai/gpt-4.1,8,48,0.8099,0.4475
openai/gpt-4.1,9,102,0.9132,0.4313
openai/gpt-5,0,96,0.0863,0.3073
openai/gpt-5,1,54,0.1849,0.2544
openai/gpt-5,2,83,0.2713,0.3239
openai/gpt-5,3,67,0.3645,0.3437
openai/gpt-5,4,67,0.452,0.3393
openai/gpt-5,5,83,0.54,0.3727
openai/gpt-5,6,60,0.6255,0.3867
openai/gpt-5,7,90,0.7356,0.3839
openai/gpt-5,8,48,0.8099,0.4271
openai/gpt-5,9,102,0.9132,0.4417
openai/gpt-5-mini,0,96,0.0863,0.2228
openai/gpt-5-mini,1,54,0.1849,0.1958
openai/gpt-5-mini,2,83,0.2713,0.2242
openai/gpt-5-mini,3,67,0.3645,0.242
openai/gpt-5-mini,4,67,0.452,0.2443
openai/gpt-5-mini,5,83,0.54,0.2801
openai/gpt-5-mini,6,60,0.6255,0.288
openai/gpt-5-mini,7,90,0.7356,0.3178
openai/gpt-5-mini,8,48,0.8099,0.3642
openai/gpt-5-mini,9,102,0.9132,0.3635
openai/gpt-5-nano,0,96,0.0863,0.1643
openai/gpt-5-nano,1,54,0.1849,0.1554
openai/gpt-5-nano,2,83,0.2713,0.157
openai/gpt-5-nano,3,67,0.3645,0.1596
openai/gpt-5-nano,4,67,0.452,0.1728
openai/gpt-5-nano,5,83,0.54,0.1929
openai/gpt-5-nano,6,60,0.6255,0.1513
openai/gpt-5-nano,7,90,0.7356,0.1648
openai/gpt-5-nano,8,48,0.8099,0.1873
openai/gpt-5-nano,9,102,0.9132,0.2223
openai/gpt-5.4-nano,0,96,0.0863,0.1872
openai/gpt-5.4-nano,1,54,0.1849,0.1733
openai/gpt-5.4-nano,2,83,0.2713,0.1976
openai/gpt-5.4-nano,3,67,0.3645,0.1644
openai/gpt-5.4-nano,4,67,0.452,0.2217
openai/gpt-5.4-nano,5,83,0.54,0.2301
openai/gpt-5.4-nano,6,60,0.6255,0.2535
openai/gpt-5.4-nano,7,90,0.7356,0.237
openai/gpt-5.4-nano,8,48,0.8099,0.2978
openai/gpt-5.4-nano,9,102,0.9132,0.2849
openai/gpt-5.5,0,96,0.0863,0.2325
openai/gpt-5.5,1,54,0.1849,0.2139
openai/gpt-5.5,2,83,0.2713,0.2642
openai/gpt-5.5,3,67,0.3645,0.2879
openai/gpt-5.5,4,67,0.452,0.2807
openai/gpt-5.5,5,83,0.54,0.3259
openai/gpt-5.5,6,60,0.6255,0.334
openai/gpt-5.5,7,90,0.7356,0.3512
openai/gpt-5.5,8,48,0.8099,0.3685
openai/gpt-5.5,9,102,0.9132,0.3676
openai/gpt-5.6-luna,0,96,0.0863,0.277
openai/gpt-5.6-luna,1,54,0.1849,0.2506
openai/gpt-5.6-luna,2,83,0.2713,0.2866
openai/gpt-5.6-luna,3,67,0.3645,0.3122
openai/gpt-5.6-luna,4,67,0.452,0.3216
openai/gpt-5.6-luna,5,83,0.54,0.3507
openai/gpt-5.6-luna,6,60,0.6255,0.3517
openai/gpt-5.6-luna,7,90,0.7356,0.3602
openai/gpt-5.6-luna,8,48,0.8099,0.3806
openai/gpt-5.6-luna,9,102,0.9132,0.3673
openai/gpt-5.6-sol,0,96,0.0863,0.3167
openai/gpt-5.6-sol,1,54,0.1849,0.2788
openai/gpt-5.6-sol,2,83,0.2713,0.33
openai/gpt-5.6-sol,3,67,0.3645,0.3985
openai/gpt-5.6-sol,4,67,0.452,0.3593
openai/gpt-5.6-sol,5,83,0.54,0.4268
openai/gpt-5.6-sol,6,60,0.6255,0.4537
openai/gpt-5.6-sol,7,90,0.7356,0.4359
openai/gpt-5.6-sol,8,48,0.8099,0.4808
openai/gpt-5.6-sol,9,102,0.9132,0.4876
openai/o3,0,96,0.0863,0.2816
openai/o3,1,54,0.1849,0.227
openai/o3,2,83,0.2713,0.2641
openai/o3,3,67,0.3645,0.2982
openai/o3,4,67,0.452,0.3175
openai/o3,5,83,0.54,0.3537
openai/o3,6,60,0.6255,0.3622
openai/o3,7,90,0.7356,0.3542
openai/o3,8,48,0.8099,0.406
openai/o3,9,102,0.9132,0.4165
openai/o4-mini,0,96,0.0863,0.1631
openai/o4-mini,1,54,0.1849,0.1442
openai/o4-mini,2,83,0.2713,0.1865
openai/o4-mini,3,67,0.3645,0.2176
openai/o4-mini,4,67,0.452,0.1952
openai/o4-mini,5,83,0.54,0.2445
openai/o4-mini,6,60,0.6255,0.2687
openai/o4-mini,7,90,0.7356,0.284
openai/o4-mini,8,48,0.8099,0.3023
openai/o4-mini,9,102,0.9132,0.3189
qwen/qwen3-235b-a22b,0,96,0.0863,0.2943
qwen/qwen3-235b-a22b,1,54,0.1849,0.2506
qwen/qwen3-235b-a22b,2,83,0.2713,0.2958
qwen/qwen3-235b-a22b,3,67,0.3645,0.2778
