model,exact_h0_continuous_score_on_primary_660_available,reason_exact_score_unavailable,h0_question_type,h0_binary_brier_score_context_only,h0_binary_num_predictions_context_only,h0_binary_num_failures_context_only,is_comparable_to_primary_continuous_proxy
anthropic/claude-sonnet-4-5-20250929,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.014245551601423488,562,0,False
xai/grok-4-0709,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.002862277580071174,562,0,False
anthropic/claude-sonnet-4-20250514,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.011136298932384343,562,0,False
mistral/mistral-large-2407,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.009799110320284698,562,0,False
openai/gpt-4o,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.04141903914590747,562,0,False
google/gemini-3-pro-preview,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.031856227758007116,562,0,False
openai/o3-2025-04-16,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.0052847419928825625,562,0,False
openai/gpt-4.1-2025-04-14,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.027583807829181496,562,0,False
mistral/mistral-large-2411,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.042904804270462636,562,0,False
openai/gpt-5-2025-08-07,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.003533811387900356,562,0,False
google/gemini-2.5-pro,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.004734163701067616,562,0,False
openai/gpt-5.1-2025-11-13,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.01779556227758007,562,0,False
together_ai/deepseek-ai/DeepSeek-V3,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.006839857651245552,562,0,False
openai/o4-mini-2025-04-16,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.0017829181494661921,562,0,False
openai/o3-mini-2025-01-31,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.004100355871886121,562,0,False
anthropic/claude-haiku-4-5-20251001,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.0019354092526690393,562,0,False
together_ai/meta-llama/Llama-3.3-70B-Instruct-Turbo,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.04643683274021353,562,0,False
together_ai/deepseek-ai/DeepSeek-V3.1,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.0018368327402135236,562,0,False
together_ai/mistralai/Mixtral-8x7B-Instruct-v0.1,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.2823803866666667,525,37,False
mistral/mistral-large-latest,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.014684163701067615,562,0,False
openai/gpt-3.5-turbo-0125,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.21490551601423488,562,0,False
google/gemini-2.5-flash,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.0018073861209964414,562,0,False
openai/gpt-5-mini-2025-08-07,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.00016994306049822062,562,0,False
anthropic/claude-3-haiku-20240307,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.11843861209964412,562,0,False
xai/grok-4-fast-reasoning,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.0,562,0,False
xai/grok-4-1-fast-reasoning,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.0,562,0,False
xai/grok-4-1-fast-non-reasoning,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.06227758007117438,562,0,False
xai/grok-4-fast-non-reasoning,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.09656138790035587,562,0,False
google/gemini-2.0-flash-lite-001,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.0691887900355872,562,0,False
openai/gpt-5-nano-2025-08-07,False,H0 run contains no continuous questions; it has binary H0 templates only.,binary,0.01712775800711744,562,0,False
