model,question_type,horizon,nforecasts,nvalid,brier,expected_brier,calibration,excess_bits
anthropic/claude-fable-5,regular,T90,150,150,0.3409617333333333,0.3409617333333333,0.16713816000000004,0.7629434508960621
anthropic/claude-fable-5,regular,T120,150,150,0.35524586666666674,0.35524586666666674,0.1793697,0.8297209857112237
anthropic/claude-fable-5,regular,T150,150,150,0.3383237333333334,0.3383237333333334,0.1643499133333333,0.7266022260314645
anthropic/claude-fable-5,regular,T180,150,150,0.33598963333333337,0.33598963333333337,0.15889468666666665,0.7051874621668375
anthropic/claude-fable-5,regular,T210,150,150,0.3345656,0.3345656,0.15951535333333333,0.6942183692892602
anthropic/claude-fable-5,regular,all,750,750,0.34101731333333335,0.34101731333333335,0.16585356266666665,0.7437344988189698
anthropic/claude-fable-5,tail,T90,60,60,0.05389733333333333,0.05389733333333333,0.03875963333333333,0.17512345814809085
anthropic/claude-fable-5,tail,T120,60,60,0.063651,0.063651,0.044544616666666675,0.20805746919125567
anthropic/claude-fable-5,tail,T150,60,60,0.05804499999999999,0.05804499999999999,0.03776279999999999,0.18592113103790556
anthropic/claude-fable-5,tail,T180,60,60,0.053691749999999996,0.053691749999999996,0.03429365,0.1708696600025572
anthropic/claude-fable-5,tail,T210,60,60,0.08147366666666665,0.08147366666666665,0.06280168333333332,0.2882787067975576
anthropic/claude-fable-5,tail,all,300,300,0.06215175,0.06215175,0.04363247666666666,0.20565008503547338
anthropic/claude-fable-5,mirror,T90,10,10,0.570194,0.570194,0.54977,2.248387779139007
anthropic/claude-fable-5,mirror,T120,10,10,0.5370439999999999,0.5370439999999999,0.5262591000000001,2.0268478512098413
anthropic/claude-fable-5,mirror,T150,10,10,0.5264220000000001,0.5264220000000001,0.509181,2.1015452140469217
anthropic/claude-fable-5,mirror,T180,10,10,0.596288,0.596288,0.5736147,2.403031367536512
anthropic/claude-fable-5,mirror,T210,10,10,0.394756,0.394756,0.3812286,1.5400668154433041
anthropic/claude-fable-5,mirror,all,50,50,0.5249408,0.5249408,0.5080106799999999,2.0639758054751174
anthropic/claude-opus-5,regular,T90,150,150,0.32463000000000003,0.32463000000000003,0.15080642666666666,0.633741384536173
anthropic/claude-opus-5,regular,T120,150,150,0.34323306666666664,0.34323306666666664,0.16735689999999995,0.7153974947883119
anthropic/claude-opus-5,regular,T150,150,149,0.3315517333333333,0.3315517333333333,0.1575779133333333,0.6775314364307885
anthropic/claude-opus-5,regular,T180,150,150,0.32376386666666673,0.32376386666666673,0.14666892,0.6025294580042889
anthropic/claude-opus-5,regular,T210,150,150,0.31611706666666667,0.31611706666666667,0.14106682,0.5648148704786348
anthropic/claude-opus-5,regular,all,750,749,0.32785914666666666,0.32785914666666666,0.152695396,0.6388029288476395
anthropic/claude-opus-5,tail,T90,60,60,0.06303666666666667,0.06303666666666667,0.04789896666666666,0.22177003124751618
anthropic/claude-opus-5,tail,T120,60,60,0.07085666666666665,0.07085666666666665,0.05175028333333332,0.23595739465925256
anthropic/claude-opus-5,tail,T150,60,60,0.050677666666666656,0.050677666666666656,0.030395466666666666,0.1677446726188015
anthropic/claude-opus-5,tail,T180,60,60,0.05689966666666667,0.05689966666666667,0.03750156666666667,0.19651308345598792
anthropic/claude-opus-5,tail,T210,60,60,0.07976933333333334,0.07976933333333334,0.06109734999999999,0.2942035469733468
anthropic/claude-opus-5,tail,all,300,300,0.064248,0.064248,0.045728726666666664,0.22323774579098093
anthropic/claude-opus-5,mirror,T90,10,10,0.45334199999999997,0.45334199999999997,0.4329179999999999,1.748854726451843
anthropic/claude-opus-5,mirror,T120,10,10,0.430094,0.430094,0.4193091,1.6007982683555277
anthropic/claude-opus-5,mirror,T150,10,10,0.5070399999999999,0.5070399999999999,0.4897989999999998,1.9530522885953079
anthropic/claude-opus-5,mirror,T180,10,10,0.49184799999999995,0.49184799999999995,0.46917469999999994,1.841179315834215
anthropic/claude-opus-5,mirror,T210,10,10,0.42290599999999995,0.42290599999999995,0.4093786,1.5661584256314534
anthropic/claude-opus-5,mirror,all,50,50,0.46104599999999996,0.46104599999999996,0.44411587999999996,1.7420086049736694
openai/gpt-5.6-sol,regular,T90,150,150,0.29501000000000005,0.29501000000000005,0.12118642666666668,0.48907102903040445
openai/gpt-5.6-sol,regular,T120,150,150,0.28980730000000005,0.28980730000000005,0.11393113333333332,0.4154430915723966
openai/gpt-5.6-sol,regular,T150,150,150,0.2902393333333333,0.2902393333333333,0.11626551333333333,0.46827785966358554
openai/gpt-5.6-sol,regular,T180,150,150,0.2952766333333333,0.2952766333333333,0.11818168666666665,0.48115782635076054
openai/gpt-5.6-sol,regular,T210,150,150,0.29075629999999997,0.29075629999999997,0.11570605333333334,0.4429606575436585
openai/gpt-5.6-sol,regular,all,750,750,0.2922179133333333,0.2922179133333333,0.11705416266666667,0.4593820928321611
openai/gpt-5.6-sol,tail,T90,60,60,0.07556666666666666,0.07556666666666666,0.06042896666666666,0.273308208316677
openai/gpt-5.6-sol,tail,T120,60,60,0.08934025000000001,0.08934025000000001,0.07023386666666666,0.3284718364333032
openai/gpt-5.6-sol,tail,T150,60,60,0.090835,0.090835,0.07055280000000001,0.31714517627777755
openai/gpt-5.6-sol,tail,T180,60,60,0.11715676666666666,0.11715676666666666,0.09775866666666665,0.4132436550403167
openai/gpt-5.6-sol,tail,T210,60,60,0.18574,0.18574,0.16706801666666668,0.6589157834798034
openai/gpt-5.6-sol,tail,all,300,300,0.11172773666666667,0.11172773666666667,0.09320846333333334,0.39821693190957563
openai/gpt-5.6-sol,mirror,T90,10,10,0.345524,0.345524,0.3251,1.1804150108049511
openai/gpt-5.6-sol,mirror,T120,10,10,0.19857400000000003,0.19857400000000003,0.18778910000000001,0.7494601361527219
openai/gpt-5.6-sol,mirror,T150,10,10,0.33778800000000003,0.33778800000000003,0.320547,1.143041674704792
openai/gpt-5.6-sol,mirror,T180,10,10,0.292958,0.292958,0.2702847,1.0274041629256447
openai/gpt-5.6-sol,mirror,T210,10,10,0.25164600000000004,0.25164600000000004,0.2381186,0.8965055926599712
openai/gpt-5.6-sol,mirror,all,50,50,0.285298,0.285298,0.26836788,0.9993653154496162
openai/gpt-5.5,regular,T90,150,150,0.31989786666666664,0.31989786666666664,0.14607429333333335,0.603686368067984
openai/gpt-5.5,regular,T120,150,150,0.3136278666666667,0.3136278666666667,0.1377517,0.545719841655845
openai/gpt-5.5,regular,T150,150,150,0.3060306666666666,0.3060306666666666,0.13205684666666667,0.5332675644947852
openai/gpt-5.5,regular,T180,150,150,0.2986736,0.2986736,0.12157865333333331,0.46028413007028024
