model,eci,fb_overall,question_type,group,horizon,n_items,n_valid,excess_brier,brier,recov,excess_bits,ncrps_global,excess_ncrps_global,crps,excess_t2,stay,gain,excess_nonews
anthropic/claude-fable-5,162.49,,bank,EX_comparative,90,9,9,0.03376888888888888,0.18927777777777777,0.6426236447872816,0.1438843698249788,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,120,11,11,0.11176799999999999,0.2802090909090909,-0.3703959658829976,0.48998999621309136,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,150,10,10,0.0241926,0.21950799999999998,0.557597568602495,0.08997094611336319,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,180,12,12,0.05000791666666668,0.2473616666666667,0.05011436395438085,0.17465356103216656,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,210,11,11,0.03422372727272728,0.22247636363636367,0.445745935417191,0.11534813373876301,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_comparative,all,53,53,0.05192169811320754,0.2338954716981132,0.23673999206743246,0.20658926323424223,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,90,7,7,0.09515300000000002,0.2908028571428572,-0.7507405684306263,0.40965880508461533,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,120,10,10,0.23061349999999997,0.42389,-3.0655724699639473,1.1960111329590024,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,150,9,9,0.297237,0.47167111111111104,-2.9334811562536305,1.615920471452927,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,180,10,10,0.23962049999999996,0.417154,-2.3066382397383616,1.251051145300175,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,210,10,10,0.26230089999999995,0.44031400000000004,-2.6437310121702686,1.336720131279299,,,,,,,
anthropic/claude-fable-5,162.49,,bank,EX_government_at,all,46,46,0.2318815869565217,0.4150921739130435,-2.471831483315664,1.2010591298707265,,,,,,,
