model,band,n,q,p
anthropic/claude-fable-5,0,96,0.0863,0.1811
anthropic/claude-fable-5,1,54,0.1849,0.1359
anthropic/claude-fable-5,2,83,0.2713,0.1871
anthropic/claude-fable-5,3,67,0.3645,0.1943
anthropic/claude-fable-5,4,67,0.452,0.197
anthropic/claude-fable-5,5,83,0.54,0.2504
anthropic/claude-fable-5,6,60,0.6255,0.3015
anthropic/claude-fable-5,7,90,0.7356,0.2522
anthropic/claude-fable-5,8,48,0.8099,0.3342
anthropic/claude-fable-5,9,102,0.9132,0.3174
anthropic/claude-haiku-4.5,0,96,0.0863,0.2745
anthropic/claude-haiku-4.5,1,54,0.1849,0.2644
anthropic/claude-haiku-4.5,2,83,0.2713,0.2654
anthropic/claude-haiku-4.5,3,67,0.3645,0.2599
anthropic/claude-haiku-4.5,4,67,0.452,0.2943
anthropic/claude-haiku-4.5,5,83,0.54,0.3014
anthropic/claude-haiku-4.5,6,60,0.6255,0.3213
anthropic/claude-haiku-4.5,7,90,0.7356,0.3244
anthropic/claude-haiku-4.5,8,48,0.8099,0.3506
anthropic/claude-haiku-4.5,9,102,0.9132,0.345
anthropic/claude-opus-5,0,96,0.0863,0.211
anthropic/claude-opus-5,1,54,0.1849,0.1769
anthropic/claude-opus-5,2,83,0.2713,0.2155
anthropic/claude-opus-5,3,67,0.3645,0.2367
anthropic/claude-opus-5,4,67,0.452,0.2537
anthropic/claude-opus-5,5,83,0.54,0.2824
anthropic/claude-opus-5,6,60,0.6255,0.3258
anthropic/claude-opus-5,7,90,0.7356,0.2828
anthropic/claude-opus-5,8,48,0.8099,0.3577
anthropic/claude-opus-5,9,102,0.9132,0.3343
anthropic/claude-sonnet-5,0,96,0.0863,0.1621
anthropic/claude-sonnet-5,1,54,0.1849,0.1306
anthropic/claude-sonnet-5,2,83,0.2713,0.1628
anthropic/claude-sonnet-5,3,67,0.3645,0.1512
anthropic/claude-sonnet-5,4,67,0.452,0.1839
anthropic/claude-sonnet-5,5,83,0.54,0.1699
anthropic/claude-sonnet-5,6,60,0.6255,0.2282
anthropic/claude-sonnet-5,7,90,0.7356,0.1826
anthropic/claude-sonnet-5,8,48,0.8099,0.2467
anthropic/claude-sonnet-5,9,102,0.9132,0.207
deepseek/deepseek-chat,0,96,0.0863,0.3135
deepseek/deepseek-chat,1,54,0.1849,0.2889
deepseek/deepseek-chat,2,83,0.2713,0.309
deepseek/deepseek-chat,3,67,0.3645,0.3039
deepseek/deepseek-chat,4,67,0.452,0.3239
deepseek/deepseek-chat,5,83,0.54,0.3736
deepseek/deepseek-chat,6,60,0.6255,0.3325
deepseek/deepseek-chat,7,90,0.7356,0.4152
deepseek/deepseek-chat,8,48,0.8099,0.4331
deepseek/deepseek-chat,9,102,0.9132,0.4221
deepseek/deepseek-v4-flash-0731,0,96,0.0863,0.1745
deepseek/deepseek-v4-flash-0731,1,54,0.1849,0.1302
deepseek/deepseek-v4-flash-0731,2,83,0.2713,0.1943
deepseek/deepseek-v4-flash-0731,3,67,0.3645,0.179
deepseek/deepseek-v4-flash-0731,4,67,0.452,0.1763
deepseek/deepseek-v4-flash-0731,5,83,0.54,0.2501
deepseek/deepseek-v4-flash-0731,6,60,0.6255,0.2748
deepseek/deepseek-v4-flash-0731,7,90,0.7356,0.2283
deepseek/deepseek-v4-flash-0731,8,48,0.8099,0.3001
deepseek/deepseek-v4-flash-0731,9,102,0.9132,0.3066
google/gemini-2.5-flash,0,96,0.0863,0.2572
google/gemini-2.5-flash,1,54,0.1849,0.1843
google/gemini-2.5-flash,2,83,0.2713,0.2986
google/gemini-2.5-flash,3,67,0.3645,0.2828
google/gemini-2.5-flash,4,67,0.452,0.2848
google/gemini-2.5-flash,5,83,0.54,0.3854
google/gemini-2.5-flash,6,60,0.6255,0.3718
google/gemini-2.5-flash,7,90,0.7356,0.3568
google/gemini-2.5-flash,8,48,0.8099,0.4144
google/gemini-2.5-flash,9,102,0.9132,0.447
google/gemini-3-flash-preview,0,96,0.0863,0.3169
google/gemini-3-flash-preview,1,54,0.1849,0.3041
google/gemini-3-flash-preview,2,83,0.2713,0.3436
google/gemini-3-flash-preview,3,67,0.3645,0.3799
google/gemini-3-flash-preview,4,67,0.452,0.3588
google/gemini-3-flash-preview,5,83,0.54,0.4096
google/gemini-3-flash-preview,6,60,0.6255,0.427
google/gemini-3-flash-preview,7,90,0.7356,0.4674
google/gemini-3-flash-preview,8,48,0.8099,0.4206
google/gemini-3-flash-preview,9,102,0.9132,0.4821
google/gemini-3.1-flash-lite-preview,0,96,0.0863,0.2469
google/gemini-3.1-flash-lite-preview,1,54,0.1849,0.255
google/gemini-3.1-flash-lite-preview,2,83,0.2713,0.2386
google/gemini-3.1-flash-lite-preview,3,67,0.3645,0.2836
google/gemini-3.1-flash-lite-preview,4,67,0.452,0.2664
google/gemini-3.1-flash-lite-preview,5,83,0.54,0.3016
google/gemini-3.1-flash-lite-preview,6,60,0.6255,0.2992
google/gemini-3.1-flash-lite-preview,7,90,0.7356,0.2794
google/gemini-3.1-flash-lite-preview,8,48,0.8099,0.3115
google/gemini-3.1-flash-lite-preview,9,102,0.9132,0.3173
google/gemini-3.7-flash,0,96,0.0863,0.2893
google/gemini-3.7-flash,1,54,0.1849,0.2789
google/gemini-3.7-flash,2,83,0.2713,0.3243
google/gemini-3.7-flash,3,67,0.3645,0.3503
google/gemini-3.7-flash,4,67,0.452,0.3381
google/gemini-3.7-flash,5,83,0.54,0.4107
google/gemini-3.7-flash,6,60,0.6255,0.4143
google/gemini-3.7-flash,7,90,0.7356,0.4322
google/gemini-3.7-flash,8,48,0.8099,0.4629
google/gemini-3.7-flash,9,102,0.9132,0.4811
meta-llama/llama-4-scout,0,96,0.0863,0.1714
meta-llama/llama-4-scout,1,54,0.1849,0.128
meta-llama/llama-4-scout,2,83,0.2713,0.1834
meta-llama/llama-4-scout,3,67,0.3645,0.1888
meta-llama/llama-4-scout,4,67,0.452,0.2052
meta-llama/llama-4-scout,5,83,0.54,0.1741
meta-llama/llama-4-scout,6,60,0.6255,0.1828
meta-llama/llama-4-scout,7,90,0.7356,0.1983
meta-llama/llama-4-scout,8,48,0.8099,0.1856
meta-llama/llama-4-scout,9,102,0.9132,0.224
moonshotai/kimi-k2,0,96,0.0863,0.2695
moonshotai/kimi-k2,1,54,0.1849,0.2387
moonshotai/kimi-k2,2,83,0.2713,0.2947
moonshotai/kimi-k2,3,67,0.3645,0.353
moonshotai/kimi-k2,4,67,0.452,0.3325
moonshotai/kimi-k2,5,83,0.54,0.3972
moonshotai/kimi-k2,6,60,0.6255,0.337
moonshotai/kimi-k2,7,90,0.7356,0.3517
moonshotai/kimi-k2,8,48,0.8099,0.4252
